+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| 70452 | 0   | 65644 | 0   | 4808 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.008 | 0.212 | 644.028 | 0.009 | 0.016 | 0.100 | 0.100 | 0.027  | 0.000     | 14.000     | 42.000       | 0.001      |
| 373   | 0   | 116   | 0   | 257  | 0   | GET    | /api/isu                                            | 0.200 | 3.000 | 286.488 | 0.768 | 1.000 | 1.004 | 1.004 | 0.405  | 0.000     | 4671.000   | 305081.000   | 817.912    |
| 806   | 0   | 739   | 0   | 67   | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 1.952 | 1.952 | 136.352 | 0.169 | 0.420 | 0.780 | 1.000 | 0.242  | 0.000     | 135259.000 | 18925632.000 | 23480.933  |
| 276   | 0   | 189   | 0   | 87   | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.116 | 1.004 | 64.700  | 0.234 | 0.616 | 1.000 | 1.000 | 0.267  | 0.000     | 6843.000   | 845451.000   | 3063.228   |
| 47    | 0   | 9     | 0   | 38   | 0   | GET    | /api/trend                                          | 0.024 | 1.004 | 39.556  | 0.842 | 1.004 | 1.004 | 1.004 | 0.329  | 0.000     | 4641.000   | 41477.000    | 882.489    |
| 178   | 0   | 138   | 0   | 40   | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 3.000 | 3.000 | 24.356  | 0.137 | 0.308 | 0.732 | 3.000 | 0.386  | 0.000     | 148.000    | 19421.000    | 109.107    |
| 126   | 0   | 67    | 0   | 59   | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 1.000 | 1.000 | 17.804  | 0.141 | 0.380 | 0.660 | 1.000 | 0.217  | 0.000     | 6875.000   | 295562.000   | 2345.730   |
| 174   | 0   | 66    | 0   | 108  | 0   | POST   | /api/auth                                           | 0.004 | 2.560 | 13.160  | 0.076 | 0.044 | 0.464 | 1.264 | 0.280  | 0.000     | 19.000     | 1196.000     | 6.874      |
| 55    | 0   | 51    | 0   | 4    | 0   | POST   | /api/isu                                            | 0.004 | 0.240 | 4.096   | 0.074 | 0.096 | 0.120 | 0.240 | 0.033  | 15.000    | 148.000    | 7056.000     | 128.291    |
| 57    | 0   | 27    | 0   | 30   | 0   | GET    | /api/user/me                                        | 0.000 | 0.688 | 1.416   | 0.025 | 0.032 | 0.092 | 0.688 | 0.096  | 21.000    | 42.000     | 1648.000     | 28.912     |
| 34    | 0   | 19    | 0   | 15   | 0   | POST   | /api/signout                                        | 0.000 | 0.688 | 1.292   | 0.038 | 0.092 | 0.148 | 0.688 | 0.118  | 21.000    | 21.000     | 315.000      | 9.265      |
| 1     | 0   | 1     | 0   | 0    | 0   | POST   | /initialize                                         | 0.248 | 0.248 | 0.248   | 0.248 | 0.248 | 0.248 | 0.248 | 0.000  | 23.000    | 23.000     | 23.000       | 23.000     |
| 97    | 0   | 50    | 47  | 0    | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.012 | 0.224   | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 0.000     | 743417.000 | 37170850.000 | 383204.639 |
| 97    | 0   | 50    | 47  | 0    | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.016 | 0.188   | 0.002 | 0.004 | 0.008 | 0.016 | 0.003  | 0.000     | 592.000    | 29600.000    | 305.155    |
| 97    | 0   | 50    | 47  | 0    | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.012 | 0.180   | 0.002 | 0.004 | 0.004 | 0.012 | 0.003  | 0.000     | 26667.000  | 1333350.000  | 13745.876  |
| 97    | 0   | 50    | 47  | 0    | 0   | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.012 | 0.144   | 0.001 | 0.004 | 0.004 | 0.012 | 0.003  | 0.000     | 19066.000  | 953300.000   | 9827.835   |
| 97    | 0   | 50    | 47  | 0    | 0   | GET    | /assets/logo_white.svg                              | 0.004 | 0.008 | 0.112   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 3285.000   | 164250.000   | 1693.299   |
| 93    | 0   | 78    | 15  | 0    | 0   | GET    | /                                                   | 0.000 | 0.004 | 0.100   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 528.000    | 41184.000    | 442.839    |
| 49    | 0   | 49    | 0   | 0    | 0   | GET    | /assets/logo_orange.svg                             | 0.000 | 0.012 | 0.096   | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 3288.000  | 3288.000   | 161112.000   | 3288.000   |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/3af9b2b1-0111-4add-ab0c-5e122896bcda           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/3af9b2b1-0111-4add-ab0c-5e122896bcda/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /isu/3af9b2b1-0111-4add-ab0c-5e122896bcda/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /register                                           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
