+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| 75210 | 0   | 74610 | 0   | 600 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.020 | 0.116 | 245.428 | 0.003 | 0.004 | 0.016 | 0.084 | 0.013  | 0.000     | 14.000     | 98.000       | 0.001      |
| 556   | 0   | 321   | 0   | 235 | 0   | GET    | /api/isu                                            | 0.008 | 1.004 | 239.068 | 0.430 | 1.000 | 1.000 | 1.004 | 0.417  | 0.000     | 4583.000   | 762143.000   | 1370.761   |
| 1552  | 0   | 1069  | 0   | 483 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.708 | 124.480 | 0.080 | 0.192 | 0.228 | 0.332 | 0.083  | 3.000     | 7243.000   | 5811560.000  | 3744.562   |
| 84    | 0   | 22    | 0   | 62  | 0   | GET    | /api/trend                                          | 0.016 | 1.004 | 70.432  | 0.838 | 1.000 | 1.004 | 1.004 | 0.322  | 0.000     | 8192.000   | 140709.000   | 1675.107   |
| 2068  | 0   | 1858  | 0   | 210 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.016 | 0.396 | 57.072  | 0.028 | 0.072 | 0.104 | 0.212 | 0.041  | 14.000    | 135259.000 | 49359613.000 | 23868.285  |
| 631   | 0   | 283   | 0   | 348 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.532 | 0.532 | 32.008  | 0.051 | 0.156 | 0.188 | 0.260 | 0.068  | 0.000     | 7892.000   | 1318102.000  | 2088.910   |
| 505   | 0   | 295   | 0   | 210 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.032 | 0.324 | 9.496   | 0.019 | 0.056 | 0.084 | 0.168 | 0.038  | 14.000    | 148.000    | 43927.000    | 86.984     |
| 825   | 0   | 265   | 0   | 560 | 0   | POST   | /api/auth                                           | 0.004 | 0.288 | 4.132   | 0.005 | 0.008 | 0.020 | 0.064 | 0.016  | 0.000     | 19.000     | 6440.000     | 7.806      |
| 55    | 0   | 51    | 0   | 4   | 0   | POST   | /api/isu                                            | 0.004 | 0.184 | 4.032   | 0.073 | 0.108 | 0.108 | 0.184 | 0.031  | 15.000    | 148.000    | 7060.000     | 128.364    |
| 170   | 0   | 55    | 0   | 115 | 0   | GET    | /api/user/me                                        | 0.000 | 0.340 | 1.116   | 0.007 | 0.008 | 0.032 | 0.128 | 0.030  | 21.000    | 42.000     | 4523.000     | 26.606     |
| 119   | 0   | 47    | 0   | 72  | 0   | POST   | /api/signout                                        | 0.004 | 0.148 | 0.668   | 0.006 | 0.016 | 0.032 | 0.048 | 0.016  | 21.000    | 21.000     | 1512.000     | 12.706     |
| 191   | 0   | 84    | 107 | 0   | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.012 | 0.264   | 0.001 | 0.004 | 0.004 | 0.012 | 0.002  | 0.000     | 743417.000 | 62447028.000 | 326947.791 |
| 1     | 0   | 1     | 0   | 0   | 0   | POST   | /initialize                                         | 0.256 | 0.256 | 0.256   | 0.256 | 0.256 | 0.256 | 0.256 | 0.000  | 23.000    | 23.000     | 23.000       | 23.000     |
| 191   | 0   | 81    | 110 | 0   | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.008 | 0.184   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 26667.000  | 2160027.000  | 11309.042  |
| 191   | 0   | 80    | 111 | 0   | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.004 | 0.164   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 592.000    | 47360.000    | 247.958    |
| 191   | 0   | 81    | 110 | 0   | 0   | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.004 | 0.164   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 19066.000  | 1544346.000  | 8085.581   |
| 191   | 0   | 85    | 106 | 0   | 0   | GET    | /assets/logo_white.svg                              | 0.000 | 0.008 | 0.108   | 0.001 | 0.004 | 0.004 | 0.004 | 0.001  | 0.000     | 3285.000   | 279225.000   | 1461.911   |
| 214   | 0   | 136   | 78  | 0   | 0   | GET    | /                                                   | 0.000 | 0.004 | 0.096   | 0.000 | 0.004 | 0.004 | 0.004 | 0.001  | 0.000     | 528.000    | 71808.000    | 335.551    |
| 86    | 0   | 77    | 9   | 0   | 0   | GET    | /assets/logo_orange.svg                             | 0.000 | 0.004 | 0.064   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 3288.000  | 3288.000   | 253176.000   | 2943.907   |
| 3     | 0   | 2     | 1   | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/condition | 0.000 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 528.000    | 1056.000     | 352.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/graph     | 0.004 | 0.004 | 0.004   | 0.004 | 0.004 | 0.004 | 0.004 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 3     | 0   | 1     | 2   | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 2     | 1   | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 1056.000     | 352.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
