+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| 74277 | 0   | 72837 | 0   | 1440 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.020 | 0.112 | 362.628 | 0.005 | 0.004 | 0.032 | 0.100 | 0.017  | 0.000     | 14.000     | 42.000       | 0.001      |
| 478   | 0   | 259   | 0   | 219  | 0   | GET    | /api/isu                                            | 0.148 | 1.008 | 237.400 | 0.497 | 1.000 | 1.000 | 1.004 | 0.421  | 0.000     | 4669.000   | 655262.000   | 1370.841   |
| 1241  | 0   | 940   | 0   | 301  | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.000 | 1.712 | 130.296 | 0.105 | 0.236 | 0.296 | 0.576 | 0.121  | 3.000     | 6943.000   | 5117992.000  | 4124.087   |
| 86    | 0   | 18    | 0   | 68   | 0   | GET    | /api/trend                                          | 0.012 | 1.004 | 74.216  | 0.863 | 1.000 | 1.000 | 1.004 | 0.299  | 0.000     | 8184.000   | 102908.000   | 1196.605   |
| 1728  | 0   | 1599  | 0   | 129  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.028 | 0.976 | 65.072  | 0.038 | 0.100 | 0.136 | 0.320 | 0.070  | 14.000    | 135259.000 | 40476294.000 | 23423.781  |
| 437   | 0   | 222   | 0   | 215  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 1.000 | 1.000 | 31.108  | 0.071 | 0.196 | 0.252 | 0.460 | 0.104  | 0.000     | 7333.000   | 1036892.000  | 2372.751   |
| 390   | 0   | 259   | 0   | 131  | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.292 | 0.292 | 11.720  | 0.030 | 0.092 | 0.136 | 0.236 | 0.047  | 0.000     | 157.000    | 38195.000    | 97.936     |
| 544   | 0   | 192   | 0   | 352  | 0   | POST   | /api/auth                                           | 0.000 | 1.060 | 7.236   | 0.013 | 0.028 | 0.056 | 0.184 | 0.063  | 0.000     | 19.000     | 4048.000     | 7.441      |
| 55    | 0   | 51    | 0   | 4    | 0   | POST   | /api/isu                                            | 0.004 | 0.100 | 3.228   | 0.059 | 0.076 | 0.076 | 0.100 | 0.018  | 15.000    | 157.000    | 7154.000     | 130.073    |
| 154   | 0   | 60    | 0   | 94   | 0   | GET    | /api/user/me                                        | 0.000 | 0.072 | 0.884   | 0.006 | 0.020 | 0.040 | 0.068 | 0.013  | 21.000    | 46.000     | 4288.000     | 27.844     |
| 98    | 0   | 52    | 0   | 46   | 0   | POST   | /api/signout                                        | 0.000 | 0.156 | 0.772   | 0.008 | 0.020 | 0.036 | 0.156 | 0.020  | 21.000    | 21.000     | 966.000      | 9.857      |
| 1     | 0   | 1     | 0   | 0    | 0   | POST   | /initialize                                         | 0.236 | 0.236 | 0.236   | 0.236 | 0.236 | 0.236 | 0.236 | 0.000  | 23.000    | 23.000     | 23.000       | 23.000     |
| 167   | 0   | 87    | 80  | 0    | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.008 | 0.200   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 743417.000 | 64677279.000 | 387289.096 |
| 167   | 0   | 88    | 79  | 0    | 0   | GET    | /assets/logo_white.svg                              | 0.004 | 0.008 | 0.124   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 3285.000   | 289080.000   | 1731.018   |
| 167   | 0   | 86    | 81  | 0    | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.008 | 0.116   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 592.000    | 50912.000    | 304.862    |
| 167   | 0   | 85    | 82  | 0    | 0   | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.008 | 0.116   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 19066.000  | 1620610.000  | 9704.251   |
| 167   | 0   | 86    | 81  | 0    | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.008 | 0.100   | 0.001 | 0.004 | 0.004 | 0.004 | 0.001  | 0.000     | 26667.000  | 2293362.000  | 13732.707  |
| 88    | 0   | 83    | 5   | 0    | 0   | GET    | /assets/logo_orange.svg                             | 0.004 | 0.008 | 0.088   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 3288.000  | 3288.000   | 272904.000   | 3101.182   |
| 195   | 0   | 147   | 48  | 0    | 0   | GET    | /                                                   | 0.000 | 0.008 | 0.084   | 0.000 | 0.004 | 0.004 | 0.004 | 0.001  | 0.000     | 528.000    | 77616.000    | 398.031    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667           | 0.004 | 0.004 | 0.004   | 0.004 | 0.004 | 0.004 | 0.004 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /register                                           | 0.000 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 528.000    | 528.000      | 176.000    |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 3     | 0   | 2     | 1   | 0    | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 1056.000     | 352.000    |
