+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| 571   | 0   | 309   | 0   | 262 | 0   | GET    | /api/trend                                          | 0.016 | 1.016 | 441.768 | 0.774 | 1.000 | 1.000 | 1.004 | 0.284  | 0.000     | 8421.000   | 2460536.000   | 4309.170   |
| 79262 | 0   | 79143 | 0   | 119 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.104 | 333.512 | 0.004 | 0.008 | 0.028 | 0.060 | 0.012  | 0.000     | 14.000     | 182.000       | 0.002      |
| 15590 | 0   | 15368 | 0   | 222 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.008 | 0.340 | 276.212 | 0.018 | 0.040 | 0.052 | 0.088 | 0.019  | 14.000    | 135259.000 | 409376140.000 | 26258.893  |
| 5849  | 0   | 5325  | 0   | 524 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.300 | 182.804 | 0.031 | 0.068 | 0.088 | 0.132 | 0.029  | 0.000     | 7013.000   | 28529202.000  | 4877.620   |
| 2264  | 0   | 2190  | 0   | 74  | 0   | GET    | /api/isu                                            | 0.020 | 0.196 | 65.676  | 0.029 | 0.056 | 0.064 | 0.092 | 0.020  | 3.000     | 10000.000  | 6559615.000   | 2897.356   |
| 1778  | 0   | 1407  | 0   | 371 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.004 | 0.216 | 46.212  | 0.026 | 0.056 | 0.072 | 0.108 | 0.024  | 0.000     | 8129.000   | 6823214.000   | 3837.578   |
| 2376  | 0   | 2153  | 0   | 223 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.036 | 0.228 | 36.780  | 0.015 | 0.036 | 0.048 | 0.088 | 0.017  | 0.000     | 154.000    | 298824.000    | 125.768    |
| 1261  | 0   | 669   | 0   | 592 | 0   | POST   | /api/auth                                           | 0.004 | 0.108 | 9.796   | 0.008 | 0.016 | 0.024 | 0.052 | 0.010  | 0.000     | 19.000     | 6808.000      | 5.399      |
| 957   | 0   | 447   | 0   | 510 | 0   | GET    | /api/user/me                                        | 0.004 | 0.068 | 4.524   | 0.005 | 0.012 | 0.024 | 0.036 | 0.008  | 21.000    | 45.000     | 27611.000     | 28.852     |
| 514   | 0   | 438   | 0   | 76  | 0   | POST   | /api/signout                                        | 0.000 | 0.068 | 3.744   | 0.007 | 0.016 | 0.024 | 0.048 | 0.009  | 21.000    | 21.000     | 1596.000      | 3.105      |
| 58    | 0   | 54    | 0   | 4   | 0   | POST   | /api/isu                                            | 0.004 | 0.120 | 3.572   | 0.062 | 0.084 | 0.100 | 0.120 | 0.020  | 15.000    | 154.000    | 7470.000      | 128.793    |
| 702   | 0   | 479   | 223 | 0   | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.012 | 1.688   | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 0.000     | 743417.000 | 356096743.000 | 507260.318 |
| 1097  | 0   | 928   | 169 | 0   | 0   | GET    | /                                                   | 0.000 | 0.012 | 1.068   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 528.000    | 489984.000    | 446.658    |
| 702   | 0   | 478   | 224 | 0   | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.012 | 0.960   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 592.000    | 282976.000    | 403.100    |
| 702   | 0   | 480   | 222 | 0   | 0   | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.012 | 0.928   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 19066.000  | 9151680.000   | 13036.581  |
| 702   | 0   | 480   | 222 | 0   | 0   | GET    | /assets/logo_white.svg                              | 0.004 | 0.012 | 0.924   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 3285.000   | 1576800.000   | 2246.154   |
| 702   | 0   | 482   | 220 | 0   | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.012 | 0.896   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 26667.000  | 12853494.000  | 18309.821  |
| 573   | 0   | 478   | 95  | 0   | 0   | GET    | /assets/logo_orange.svg                             | 0.000 | 0.012 | 0.768   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 3288.000  | 3288.000   | 1571664.000   | 2742.869   |
| 1     | 0   | 1     | 0   | 0   | 0   | POST   | /initialize                                         | 0.328 | 0.328 | 0.328   | 0.328 | 0.328 | 0.328 | 0.328 | 0.000  | 23.000    | 23.000     | 23.000        | 23.000     |
| 3     | 0   | 1     | 2   | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/condition | 0.004 | 0.004 | 0.008   | 0.003 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 528.000    | 528.000       | 176.000    |
| 3     | 0   | 1     | 2   | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/condition | 0.000 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 528.000    | 528.000       | 176.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/5a5ab5c8-85ad-4b12-8663-ca400e895307/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000       | 528.000    |
| 3     | 0   | 2     | 1   | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 1056.000      | 352.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000       | 528.000    |
| 3     | 0   | 1     | 2   | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000       | 176.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000       | 528.000    |
| 3     | 0   | 2     | 1   | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 1056.000      | 352.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/0b675a72-c8fd-4c21-b87b-eefc1d5df5e4           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/0b675a72-c8fd-4c21-b87b-eefc1d5df5e4/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000       | 528.000    |
