+-------+-----+-------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 94117 | 0   | 93852 | 0    | 265 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.108 | 463.128 | 0.005 | 0.012 | 0.032 | 0.060 | 0.012  | 0.000      | 14.000     | 126.000       | 0.001      |
| 2881  | 0   | 2774  | 0    | 107 | 0   | GET    | /api/trend                                          | 0.004 | 1.004 | 397.520 | 0.138 | 0.556 | 0.812 | 1.000 | 0.262  | 0.000      | 9495.000   | 23051248.000  | 8001.127   |
| 23704 | 0   | 23475 | 0    | 229 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.008 | 0.988 | 357.492 | 0.015 | 0.032 | 0.048 | 0.088 | 0.023  | 0.000      | 135259.000 | 638279959.000 | 26927.099  |
| 7570  | 0   | 7052  | 0    | 518 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.016 | 1.004 | 200.256 | 0.026 | 0.060 | 0.080 | 0.136 | 0.036  | 0.000      | 7243.000   | 36372119.000  | 4804.771   |
| 3595  | 0   | 3521  | 0    | 74  | 0   | GET    | /api/isu                                            | 0.012 | 0.264 | 97.124  | 0.027 | 0.052 | 0.068 | 0.116 | 0.022  | 0.000      | 4576.000   | 9920673.000   | 2759.575   |
| 2740  | 0   | 2374  | 0    | 366 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.012 | 0.864 | 64.068  | 0.023 | 0.052 | 0.068 | 0.112 | 0.028  | 0.000      | 8190.000   | 11326341.000  | 4133.701   |
| 3599  | 0   | 3378  | 0    | 221 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.004 | 0.632 | 48.068  | 0.013 | 0.032 | 0.044 | 0.076 | 0.022  | 0.000      | 151.000    | 467616.000    | 129.929    |
| 1446  | 0   | 862   | 0    | 584 | 0   | POST   | /api/auth                                           | 0.012 | 0.124 | 10.644  | 0.007 | 0.016 | 0.024 | 0.044 | 0.010  | 0.000      | 19.000     | 6716.000      | 4.645      |
| 2991  | 0   | 691   | 2300 | 0   | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.004 | 0.024 | 9.096   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 743417.000 | 743417.000 | 513701147.000 | 171748.963 |
| 2991  | 0   | 690   | 2301 | 0   | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.020 | 7.884   | 0.003 | 0.004 | 0.008 | 0.012 | 0.003  | 592.000    | 592.000    | 408480.000    | 136.570    |
| 2991  | 0   | 690   | 2301 | 0   | 0   | GET    | /assets/index.23dac98b.js                           | 0.004 | 0.020 | 7.856   | 0.003 | 0.004 | 0.008 | 0.012 | 0.003  | 26667.000  | 26667.000  | 18400230.000  | 6151.866   |
| 2991  | 0   | 694   | 2297 | 0   | 0   | GET    | /assets/index.144d8ca8.css                          | 0.004 | 0.020 | 7.724   | 0.003 | 0.004 | 0.008 | 0.012 | 0.003  | 19066.000  | 19066.000  | 13231804.000  | 4423.873   |
| 3602  | 0   | 1330  | 2272 | 0   | 0   | GET    | /                                                   | 0.000 | 0.020 | 7.660   | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 528.000    | 528.000    | 702240.000    | 194.958    |
| 2991  | 0   | 690   | 2301 | 0   | 0   | GET    | /assets/logo_white.svg                              | 0.004 | 0.016 | 6.768   | 0.002 | 0.004 | 0.008 | 0.008 | 0.003  | 3285.000   | 3285.000   | 2266650.000   | 757.823    |
| 1345  | 0   | 643   | 0    | 702 | 0   | GET    | /api/user/me                                        | 0.028 | 0.176 | 6.716   | 0.005 | 0.012 | 0.020 | 0.044 | 0.011  | 21.000     | 42.000     | 39251.000     | 29.183     |
| 2883  | 0   | 690   | 2193 | 0   | 0   | GET    | /assets/logo_orange.svg                             | 0.004 | 0.016 | 6.520   | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 3288.000   | 3288.000   | 2268720.000   | 786.930    |
| 73    | 0   | 69    | 0    | 4   | 0   | POST   | /api/isu                                            | 0.004 | 0.344 | 4.976   | 0.068 | 0.092 | 0.104 | 0.344 | 0.038  | 15.000     | 151.000    | 9540.000      | 130.685    |
| 706   | 0   | 631   | 0    | 75  | 0   | POST   | /api/signout                                        | 0.000 | 0.068 | 4.668   | 0.007 | 0.016 | 0.020 | 0.044 | 0.008  | 0.000      | 21.000     | 1575.000      | 2.231      |
