+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+------------+--------------+------------+
| 70143 | 0   | 63701 | 0   | 6442 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.108 | 1632.232 | 0.023 | 0.092 | 0.100 | 0.100 | 0.033  | 0.000     | 14.000     | 350.000      | 0.005      |
| 3040  | 0   | 2745  | 0   | 295  | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.028 | 1.000 | 380.024  | 0.125 | 0.312 | 0.440 | 0.856 | 0.161  | 0.000     | 6710.000   | 16379175.000 | 5387.887   |
| 1618  | 0   | 1502  | 0   | 116  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.036 | 1.000 | 97.688   | 0.060 | 0.160 | 0.252 | 0.504 | 0.101  | 14.000    | 135259.000 | 39952227.000 | 24692.353  |
| 438   | 0   | 402   | 0   | 36   | 0   | GET    | /api/trend                                          | 0.004 | 1.000 | 83.028   | 0.190 | 0.756 | 1.000 | 1.000 | 0.322  | 0.000     | 8389.000   | 3237839.000  | 7392.326   |
| 428   | 0   | 241   | 0   | 187  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.012 | 1.000 | 32.416   | 0.076 | 0.192 | 0.264 | 0.588 | 0.117  | 0.000     | 13791.000  | 2263433.000  | 5288.395   |
| 284   | 0   | 245   | 0   | 39   | 0   | GET    | /api/isu                                            | 0.004 | 0.624 | 17.280   | 0.061 | 0.160 | 0.220 | 0.472 | 0.092  | 3.000     | 10000.000  | 629436.000   | 2216.324   |
| 377   | 0   | 260   | 0   | 117  | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.004 | 0.992 | 15.792   | 0.042 | 0.108 | 0.184 | 0.468 | 0.093  | 0.000     | 154.000    | 37387.000    | 99.170     |
| 478   | 0   | 166   | 0   | 312  | 0   | POST   | /api/auth                                           | 0.004 | 0.320 | 6.072    | 0.013 | 0.028 | 0.084 | 0.184 | 0.034  | 0.000     | 19.000     | 3588.000     | 7.506      |
| 58    | 0   | 54    | 0   | 4    | 0   | POST   | /api/isu                                            | 0.004 | 0.128 | 3.548    | 0.061 | 0.080 | 0.120 | 0.128 | 0.024  | 15.000    | 154.000    | 7437.000     | 128.224    |
| 81    | 0   | 39    | 0   | 42   | 0   | POST   | /api/signout                                        | 0.000 | 1.000 | 2.928    | 0.036 | 0.040 | 0.092 | 1.000 | 0.146  | 21.000    | 21.000     | 861.000      | 10.630     |
| 125   | 0   | 48    | 0   | 77   | 0   | GET    | /api/user/me                                        | 0.000 | 1.000 | 2.784    | 0.022 | 0.036 | 0.088 | 0.504 | 0.104  | 21.000    | 47.000     | 3445.000     | 27.560     |
| 534   | 0   | 85    | 449 | 0    | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.004 | 0.016 | 0.696    | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 743417.000 | 63190445.000 | 118334.167 |
| 534   | 0   | 79    | 455 | 0    | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.004 | 0.016 | 0.576    | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 592.000    | 46768.000    | 87.581     |
| 534   | 0   | 84    | 450 | 0    | 0   | GET    | /assets/index.23dac98b.js                           | 0.004 | 0.016 | 0.548    | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 26667.000  | 2240028.000  | 4194.809   |
| 534   | 0   | 83    | 451 | 0    | 0   | GET    | /assets/index.144d8ca8.css                          | 0.004 | 0.008 | 0.528    | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 19066.000  | 1582478.000  | 2963.442   |
| 534   | 0   | 83    | 451 | 0    | 0   | GET    | /assets/logo_white.svg                              | 0.000 | 0.008 | 0.408    | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 3285.000   | 272655.000   | 510.590    |
| 531   | 0   | 137   | 394 | 0    | 0   | GET    | /                                                   | 0.000 | 0.008 | 0.376    | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 528.000    | 72336.000    | 136.226    |
| 440   | 0   | 82    | 358 | 0    | 0   | GET    | /assets/logo_orange.svg                             | 0.000 | 0.012 | 0.344    | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 3288.000  | 3288.000   | 269616.000   | 612.764    |
| 1     | 0   | 1     | 0   | 0    | 0   | POST   | /initialize                                         | 0.280 | 0.280 | 0.280    | 0.280 | 0.280 | 0.280 | 0.280 | 0.000  | 23.000    | 23.000     | 23.000       | 23.000     |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/condition | 0.000 | 0.004 | 0.004    | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/0b675a72-c8fd-4c21-b87b-eefc1d5df5e4/graph     | 0.004 | 0.004 | 0.004    | 0.004 | 0.004 | 0.004 | 0.004 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/condition | 0.000 | 0.004 | 0.004    | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000     | 528.000    | 528.000      | 176.000    |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/condition | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/96263833-a65e-4607-8403-a0c49e2c7112           | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667           | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a           | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/graph     | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/condition | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014           | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/graph     | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 2     | 1   | 0    | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/condition | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 1056.000     | 352.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/graph     | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/0b675a72-c8fd-4c21-b87b-eefc1d5df5e4           | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e           | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /isu/0b675a72-c8fd-4c21-b87b-eefc1d5df5e4/condition | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/graph     | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/96263833-a65e-4607-8403-a0c49e2c7112/graph     | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /isu/96263833-a65e-4607-8403-a0c49e2c7112/condition | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/f46ad522-d196-487e-b666-c9b000c3d458           | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/f46ad522-d196-487e-b666-c9b000c3d458/graph     | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
| 3     | 0   | 1     | 2   | 0    | 0   | GET    | /isu/f46ad522-d196-487e-b666-c9b000c3d458/condition | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000      | 176.000    |
| 1     | 0   | 1     | 0   | 0    | 0   | GET    | /isu/99c606e8-c041-4a13-b073-c29015cbbdb1           | 0.000 | 0.000 | 0.000    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000   | 528.000    | 528.000      | 528.000    |
