+-------+-----+-------+------+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+------+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+---------------+------------+
| 77848 | 0   | 74727 | 0    | 3121 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.112 | 672.344 | 0.009 | 0.012 | 0.080 | 0.100 | 0.024  | 0.000     | 14.000     | 70.000        | 0.001      |
| 29826 | 0   | 29583 | 0    | 243  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.004 | 0.880 | 327.104 | 0.011 | 0.020 | 0.032 | 0.068 | 0.016  | 14.000    | 135259.000 | 804013229.000 | 26956.790  |
| 1996  | 0   | 1963  | 0    | 33   | 0   | GET    | /api/trend                                          | 0.004 | 1.004 | 234.656 | 0.118 | 0.464 | 0.632 | 1.000 | 0.225  | 0.000     | 8563.000   | 15943500.000  | 7987.725   |
| 7633  | 0   | 7070  | 0    | 563  | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.748 | 137.564 | 0.018 | 0.040 | 0.056 | 0.104 | 0.023  | 0.000     | 7123.000   | 34639417.000  | 4538.113   |
| 4514  | 0   | 4432  | 0    | 82   | 0   | GET    | /api/isu                                            | 0.016 | 0.184 | 90.340  | 0.020 | 0.036 | 0.048 | 0.080 | 0.016  | 0.000     | 10000.000  | 12601494.000  | 2791.647   |
| 3843  | 0   | 3435  | 0    | 408  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.012 | 0.636 | 67.468  | 0.018 | 0.036 | 0.048 | 0.088 | 0.020  | 0.000     | 7538.000   | 16145943.000  | 4201.390   |
| 4422  | 0   | 4178  | 0    | 244  | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.000 | 0.344 | 43.500  | 0.010 | 0.020 | 0.032 | 0.076 | 0.015  | 0.000     | 151.000    | 577107.000    | 130.508    |
| 1711  | 0   | 1063  | 0    | 648  | 0   | POST   | /api/auth                                           | 0.004 | 0.368 | 10.124  | 0.006 | 0.012 | 0.016 | 0.040 | 0.012  | 0.000     | 19.000     | 7452.000      | 4.355      |
| 1709  | 0   | 820   | 0    | 889  | 0   | GET    | /api/user/me                                        | 0.000 | 0.172 | 5.680   | 0.003 | 0.008 | 0.012 | 0.032 | 0.008  | 21.000    | 48.000     | 49568.000     | 29.004     |
| 2135  | 0   | 864   | 1271 | 0    | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.016 | 5.424   | 0.003 | 0.004 | 0.008 | 0.012 | 0.003  | 0.000     | 743417.000 | 642312288.000 | 300848.847 |
| 893   | 0   | 810   | 0    | 83   | 0   | POST   | /api/signout                                        | 0.000 | 0.140 | 4.320   | 0.005 | 0.012 | 0.016 | 0.036 | 0.008  | 21.000    | 21.000     | 1743.000      | 1.952      |
| 2135  | 0   | 861   | 1274 | 0    | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.016 | 4.016   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 592.000    | 509712.000    | 238.741    |
| 2903  | 0   | 1683  | 1220 | 0    | 0   | GET    | /                                                   | 0.004 | 0.024 | 4.000   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 528.000    | 888624.000    | 306.105    |
| 2135  | 0   | 858   | 1277 | 0    | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.016 | 3.860   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 26667.000  | 22880286.000  | 10716.762  |
| 2135  | 0   | 858   | 1277 | 0    | 0   | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.016 | 3.748   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 19066.000  | 16358628.000  | 7662.121   |
| 2135  | 0   | 856   | 1279 | 0    | 0   | GET    | /assets/logo_white.svg                              | 0.000 | 0.016 | 3.576   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 3285.000   | 2811960.000   | 1317.077   |
| 1999  | 0   | 858   | 1141 | 0    | 0   | GET    | /assets/logo_orange.svg                             | 0.000 | 0.016 | 3.488   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 3288.000  | 3288.000   | 2821104.000   | 1411.258   |
| 60    | 0   | 56    | 0    | 4    | 0   | POST   | /api/isu                                            | 0.008 | 0.100 | 3.464   | 0.058 | 0.068 | 0.076 | 0.100 | 0.017  | 15.000    | 151.000    | 7764.000      | 129.400    |
| 1     | 0   | 1     | 0    | 0    | 0   | POST   | /initialize                                         | 0.268 | 0.268 | 0.268   | 0.268 | 0.268 | 0.268 | 0.268 | 0.000  | 23.000    | 23.000     | 23.000        | 23.000     |
| 3     | 0   | 1     | 2    | 0    | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000       | 176.000    |
| 3     | 0   | 1     | 2    | 0    | 0   | GET    | /isu/6d69647a-b816-4540-9e60-1d43c774df94/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 528.000    | 528.000       | 176.000    |
