Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
STAT pid 12292
STAT uptime 105
STAT time 1697210954
STAT version 1.5.22
STAT libevent 2.1.11-stable
STAT pointer_size 64
STAT rusage_user 0.713666
STAT rusage_system 1.086938
STAT max_connections 1024
STAT curr_connections 6
STAT total_connections 206
STAT rejected_connections 205
STAT connection_structures 13
STAT reserved_fds 20
STAT cmd_get 49907
STAT cmd_set 4508
STAT cmd_flush 0
STAT cmd_touch 0
STAT cmd_meta 0
STAT get_hits 45402
STAT get_misses 4505
STAT get_expired 1462
STAT get_flushed 0
STAT delete_misses 0
STAT delete_hits 0
STAT incr_misses 0
STAT incr_hits 0
STAT decr_misses 0
STAT decr_hits 0
STAT cas_misses 0
STAT cas_hits 0
STAT cas_badval 0
STAT touch_hits 0
STAT touch_misses 0
STAT auth_cmds 0
STAT auth_errors 0
STAT bytes_read 2311341
STAT bytes_written 10117937
STAT limit_maxbytes 67108864
STAT accepting_conns 1
STAT listen_disabled_num 0
STAT time_in_listen_disabled_us 0
STAT threads 4
STAT conn_yields 0
STAT hash_power_level 16
STAT hash_bytes 524288
STAT hash_is_expanding 0
STAT slab_reassign_rescues 0
STAT slab_reassign_chunk_rescues 0
STAT slab_reassign_evictions_nomem 0
STAT slab_reassign_inline_reclaim 0
STAT slab_reassign_busy_items 0
STAT slab_reassign_busy_deletes 0
STAT slab_reassign_running 0
STAT slabs_moved 0
STAT lru_crawler_running 0
STAT lru_crawler_starts 530
STAT lru_maintainer_juggles 51386
STAT malloc_fails 0
STAT log_worker_dropped 0
STAT log_worker_written 0
STAT log_watcher_skipped 0
STAT log_watcher_sent 0
STAT bytes 0
STAT curr_items 0
STAT total_items 4508
STAT slab_global_page_pool 0
STAT expired_unfetched 5
STAT evicted_unfetched 0
STAT evicted_active 0
STAT evictions 0
STAT reclaimed 43
STAT crawler_reclaimed 0
STAT crawler_items_checked 67
STAT lrutail_reflocked 12217
STAT moves_to_cold 28050
STAT moves_to_warm 26677
STAT moves_within_lru 7695
STAT direct_reclaims 0
STAT lru_bumps_dropped 0
END

telnet> close
Connection closed.
