+-------+-----+-------+-------+-----+------+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+----------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX  | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)    | AVG(BODY) |
+-------+-----+-------+-------+-----+------+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+----------------+-----------+
| 77745 | 0   | 77496 | 0     | 249 | 0    | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.004 | 0.072 | 737.730 | 0.009 | 0.020 | 0.024 | 0.032 | 0.007  | 14.000    | 135259.000 | 1975922501.000 | 25415.429 |
| 11762 | 0   | 11761 | 0     | 1   | 0    | GET    | /api/trend                                          | 0.004 | 0.268 | 341.547 | 0.029 | 0.052 | 0.136 | 0.192 | 0.039  | 0.000     | 4495.000   | 52865193.000   | 4494.575  |
| 76191 | 0   | 68721 | 0     | 4   | 7466 | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.000 | 0.048 | 294.824 | 0.004 | 0.008 | 0.012 | 0.020 | 0.004  | 0.000     | 105.000    | 783986.000     | 10.290    |
| 11795 | 0   | 11706 | 0     | 89  | 0    | GET    | /api/isu                                            | 0.004 | 0.072 | 213.582 | 0.018 | 0.032 | 0.040 | 0.052 | 0.011  | 1125.000  | 2565.000   | 14320405.000   | 1214.108  |
| 11882 | 0   | 43    | 11839 | 0   | 0    | GET    | /assets/favicon.d0f5f504.svg                        | 0.004 | 0.032 | 59.210  | 0.005 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000     | 592.000    | 25456.000      | 2.142     |
| 11882 | 0   | 41    | 11841 | 0   | 0    | GET    | /assets/vendor.ee7444dd.js                          | 0.004 | 0.032 | 59.210  | 0.005 | 0.012 | 0.012 | 0.016 | 0.004  | 0.000     | 743417.000 | 30480097.000   | 2565.233  |
| 11882 | 0   | 39    | 11843 | 0   | 0    | GET    | /assets/index.23dac98b.js                           | 0.004 | 0.032 | 58.488  | 0.005 | 0.012 | 0.012 | 0.016 | 0.004  | 0.000     | 26667.000  | 1040013.000    | 87.528    |
| 11882 | 0   | 41    | 11841 | 0   | 0    | GET    | /assets/index.144d8ca8.css                          | 0.004 | 0.032 | 57.055  | 0.005 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000     | 19066.000  | 781706.000     | 65.789    |
| 11764 | 0   | 39    | 11725 | 0   | 0    | GET    | /assets/logo_orange.svg                             | 0.004 | 0.032 | 55.270  | 0.005 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000     | 3288.000   | 128232.000     | 10.900    |
