+-------+-----+-------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 3548  | 0   | 3444  | 0    | 104 | 0   | GET    | /api/trend                                          | 0.188 | 1.004 | 427.112 | 0.120 | 0.452 | 0.712 | 1.000 | 0.236  | 0.000      | 9499.000   | 28921907.000  | 8151.609   |
| 96288 | 0   | 96177 | 0    | 111 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.008 | 0.104 | 395.524 | 0.004 | 0.008 | 0.016 | 0.048 | 0.009  | 0.000      | 14.000     | 56.000        | 0.001      |
| 27263 | 0   | 27035 | 0    | 228 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.004 | 0.256 | 367.532 | 0.013 | 0.028 | 0.040 | 0.072 | 0.014  | 14.000     | 135259.000 | 710740169.000 | 26069.771  |
| 8234  | 0   | 7698  | 0    | 536 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.328 | 189.824 | 0.023 | 0.052 | 0.072 | 0.112 | 0.024  | 0.000      | 7183.000   | 39504933.000  | 4797.782   |
| 4103  | 0   | 4024  | 0    | 79  | 0   | GET    | /api/isu                                            | 0.004 | 0.180 | 109.308 | 0.027 | 0.052 | 0.064 | 0.096 | 0.019  | 0.000      | 4593.000   | 11523598.000  | 2808.579   |
| 3204  | 0   | 2823  | 0    | 381 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.004 | 0.156 | 69.096  | 0.022 | 0.044 | 0.056 | 0.088 | 0.018  | 0.000      | 7933.000   | 13414282.000  | 4186.730   |
| 4110  | 0   | 3881  | 0    | 229 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.004 | 0.132 | 47.760  | 0.012 | 0.024 | 0.036 | 0.064 | 0.013  | 0.000      | 163.000    | 541347.000    | 131.715    |
| 3661  | 0   | 829   | 2832 | 0   | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.012 | 0.024 | 14.644  | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 743417.000 | 743417.000 | 616292693.000 | 168339.987 |
| 3661  | 0   | 823   | 2838 | 0   | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.012 | 0.024 | 12.840  | 0.004 | 0.008 | 0.008 | 0.016 | 0.003  | 592.000    | 592.000    | 487216.000    | 133.083    |
| 4406  | 0   | 1601  | 2805 | 0   | 0   | GET    | /                                                   | 0.000 | 0.024 | 12.664  | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 528.000    | 528.000    | 845328.000    | 191.858    |
| 3661  | 0   | 821   | 2840 | 0   | 0   | GET    | /assets/index.23dac98b.js                           | 0.012 | 0.024 | 12.640  | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 26667.000  | 26667.000  | 21893607.000  | 5980.226   |
| 3661  | 0   | 826   | 2835 | 0   | 0   | GET    | /assets/index.144d8ca8.css                          | 0.004 | 0.024 | 12.584  | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 19066.000  | 19066.000  | 15748516.000  | 4301.698   |
| 1613  | 0   | 1003  | 0    | 610 | 0   | POST   | /api/auth                                           | 0.000 | 0.092 | 12.560  | 0.008 | 0.016 | 0.020 | 0.040 | 0.008  | 0.000      | 19.000     | 6992.000      | 4.335      |
| 3661  | 0   | 824   | 2837 | 0   | 0   | GET    | /assets/logo_white.svg                              | 0.008 | 0.028 | 11.928  | 0.003 | 0.008 | 0.008 | 0.016 | 0.003  | 3285.000   | 3285.000   | 2706840.000   | 739.372    |
| 3550  | 0   | 821   | 2729 | 0   | 0   | GET    | /assets/logo_orange.svg                             | 0.004 | 0.020 | 11.688  | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 3288.000   | 3288.000   | 2699448.000   | 760.408    |
| 1614  | 0   | 775   | 0    | 839 | 0   | GET    | /api/user/me                                        | 0.004 | 0.108 | 7.404   | 0.005 | 0.012 | 0.016 | 0.036 | 0.008  | 21.000     | 45.000     | 48243.000     | 29.890     |
| 843   | 0   | 765   | 0    | 78  | 0   | POST   | /api/signout                                        | 0.008 | 0.084 | 6.032   | 0.007 | 0.016 | 0.024 | 0.048 | 0.009  | 0.000      | 21.000     | 1638.000      | 1.943      |
| 73    | 0   | 69    | 0    | 4   | 0   | POST   | /api/isu                                            | 0.004 | 0.104 | 4.352   | 0.060 | 0.076 | 0.080 | 0.104 | 0.016  | 15.000     | 163.000    | 9605.000      | 131.575    |
