+--------+-----+--------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT  | 1XX |  2XX   | 3XX  | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+--------+-----+--------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 102875 | 0   | 102639 | 0    | 236 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.108 | 458.596 | 0.004 | 0.008 | 0.020 | 0.052 | 0.010  | 0.000      | 14.000     | 112.000       | 0.001      |
| 3880   | 0   | 3717   | 0    | 163 | 0   | GET    | /api/trend                                          | 0.004 | 1.004 | 451.492 | 0.116 | 0.428 | 0.796 | 1.000 | 0.245  | 0.000      | 10091.000  | 31441644.000  | 8103.516   |
| 25038  | 0   | 24817  | 0    | 221 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.092 | 0.300 | 383.868 | 0.015 | 0.032 | 0.044 | 0.084 | 0.017  | 0.000      | 135259.000 | 648678037.000 | 25907.742  |
| 8155   | 0   | 7645   | 0    | 510 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.012 | 0.380 | 214.764 | 0.026 | 0.060 | 0.080 | 0.128 | 0.027  | 0.000      | 7303.000   | 39778228.000  | 4877.772   |
| 3728   | 0   | 3656   | 0    | 72  | 0   | GET    | /api/isu                                            | 0.004 | 0.252 | 109.120 | 0.029 | 0.056 | 0.068 | 0.108 | 0.022  | 3.000      | 4698.000   | 10573542.000  | 2836.251   |
| 2897   | 0   | 2536   | 0    | 361 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.004 | 0.232 | 70.716  | 0.024 | 0.052 | 0.068 | 0.104 | 0.022  | 0.000      | 8041.000   | 12119031.000  | 4183.304   |
| 3793   | 0   | 3577   | 0    | 216 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.004 | 0.204 | 51.484  | 0.014 | 0.032 | 0.044 | 0.076 | 0.016  | 14.000     | 160.000    | 499709.000    | 131.745    |
| 3989   | 0   | 755    | 3234 | 0   | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.004 | 0.024 | 14.308  | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 743417.000 | 743417.000 | 561279835.000 | 140706.903 |
| 3989   | 0   | 753    | 3236 | 0   | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.004 | 0.020 | 12.684  | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 592.000    | 592.000    | 445776.000    | 111.751    |
| 4661   | 0   | 1455   | 3206 | 0   | 0   | GET    | /                                                   | 0.000 | 0.020 | 12.596  | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 528.000    | 528.000    | 768240.000    | 164.823    |
| 3989   | 0   | 754    | 3235 | 0   | 0   | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.020 | 12.536  | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 19066.000  | 19066.000  | 14375764.000  | 3603.852   |
| 3989   | 0   | 752    | 3237 | 0   | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.020 | 12.532  | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 26667.000  | 26667.000  | 20053584.000  | 5027.221   |
| 1495   | 0   | 919    | 0    | 576 | 0   | POST   | /api/auth                                           | 0.004 | 0.104 | 12.436  | 0.008 | 0.016 | 0.020 | 0.040 | 0.008  | 0.000      | 19.000     | 6624.000      | 4.431      |
| 3989   | 0   | 756    | 3233 | 0   | 0   | GET    | /assets/logo_white.svg                              | 0.000 | 0.024 | 12.084  | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 3285.000   | 3285.000   | 2483460.000   | 622.577    |
| 3882   | 0   | 746    | 3136 | 0   | 0   | GET    | /assets/logo_orange.svg                             | 0.000 | 0.020 | 11.776  | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 3288.000   | 3288.000   | 2452848.000   | 631.852    |
| 1463   | 0   | 703    | 0    | 760 | 0   | GET    | /api/user/me                                        | 0.004 | 0.128 | 7.032   | 0.005 | 0.012 | 0.016 | 0.036 | 0.008  | 21.000     | 42.000     | 41722.000     | 28.518     |
| 81     | 0   | 77     | 0    | 4   | 0   | POST   | /api/isu                                            | 0.004 | 0.272 | 5.808   | 0.072 | 0.104 | 0.108 | 0.272 | 0.034  | 15.000     | 160.000    | 10742.000     | 132.617    |
| 765    | 0   | 690    | 0    | 75  | 0   | POST   | /api/signout                                        | 0.232 | 0.232 | 5.688   | 0.007 | 0.016 | 0.024 | 0.048 | 0.012  | 0.000      | 21.000     | 1554.000      | 2.031      |
| 1      | 0   | 1      | 0    | 0   | 0   | POST   | /initialize                                         | 0.256 | 0.256 | 0.256   | 0.256 | 0.256 | 0.256 | 0.256 | 0.000  | 23.000     | 23.000     | 23.000        | 23.000     |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a           | 0.004 | 0.004 | 0.004   | 0.004 | 0.004 | 0.004 | 0.004 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3      | 0   | 2      | 1    | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/condition | 0.000 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000      | 528.000    | 1056.000      | 352.000    |
| 3      | 0   | 1      | 2    | 0   | 0   | GET    | /register                                           | 0.000 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000      | 528.000    | 528.000       | 176.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/c648b087-fe00-4ea2-a524-b2e80555893f/graph     | 0.004 | 0.004 | 0.004   | 0.004 | 0.004 | 0.004 | 0.004 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014           | 0.004 | 0.004 | 0.004   | 0.004 | 0.004 | 0.004 | 0.004 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3      | 0   | 1      | 2    | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/condition | 0.004 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000      | 528.000    | 528.000       | 176.000    |
| 3      | 0   | 1      | 2    | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 528.000       | 176.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3      | 0   | 1      | 2    | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 528.000       | 176.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3      | 0   | 1      | 2    | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 528.000       | 176.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/c648b087-fe00-4ea2-a524-b2e80555893f           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3      | 0   | 2      | 1    | 0   | 0   | GET    | /isu/c648b087-fe00-4ea2-a524-b2e80555893f/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 1056.000      | 352.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
+--------+-----+--------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
