+-------+-----+-------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 3267  | 0   | 3143  | 0    | 124 | 0   | GET    | /api/trend                                          | 0.004 | 1.004 | 428.460 | 0.131 | 0.528 | 0.844 | 1.000 | 0.259  | 0.000      | 9499.000   | 26287225.000  | 8046.289   |
| 95367 | 0   | 95176 | 0    | 191 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.108 | 416.064 | 0.004 | 0.008 | 0.020 | 0.052 | 0.010  | 0.000      | 14.000     | 98.000        | 0.001      |
| 25280 | 0   | 25053 | 0    | 227 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.004 | 0.264 | 320.636 | 0.013 | 0.024 | 0.032 | 0.060 | 0.013  | 0.000      | 135259.000 | 658644352.000 | 26053.970  |
| 7882  | 0   | 7366  | 0    | 516 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.252 | 208.904 | 0.027 | 0.060 | 0.084 | 0.140 | 0.028  | 0.000      | 7183.000   | 37856126.000  | 4802.858   |
| 3844  | 0   | 3770  | 0    | 74  | 0   | GET    | /api/isu                                            | 0.004 | 1.000 | 117.468 | 0.031 | 0.056 | 0.068 | 0.112 | 0.028  | 3.000      | 10000.000  | 10627387.000  | 2764.669   |
| 2886  | 0   | 2519  | 0    | 367 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.004 | 0.280 | 69.772  | 0.024 | 0.052 | 0.068 | 0.112 | 0.023  | 0.000      | 7923.000   | 11892852.000  | 4120.877   |
| 3802  | 0   | 3582  | 0    | 220 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.004 | 0.216 | 51.640  | 0.014 | 0.028 | 0.040 | 0.084 | 0.016  | 0.000      | 151.000    | 494657.000    | 130.104    |
| 1507  | 0   | 923   | 0    | 584 | 0   | POST   | /api/auth                                           | 0.004 | 0.144 | 12.560  | 0.008 | 0.016 | 0.024 | 0.048 | 0.010  | 0.000      | 19.000     | 6716.000      | 4.457      |
| 4050  | 0   | 1455  | 2595 | 0   | 0   | GET    | /                                                   | 0.008 | 0.016 | 8.436   | 0.002 | 0.004 | 0.008 | 0.008 | 0.003  | 528.000    | 528.000    | 768240.000    | 189.689    |
| 1466  | 0   | 703   | 0    | 763 | 0   | GET    | /api/user/me                                        | 0.028 | 1.000 | 8.404   | 0.006 | 0.012 | 0.016 | 0.044 | 0.027  | 21.000     | 43.000     | 42254.000     | 28.823     |
| 766   | 0   | 691   | 0    | 75  | 0   | POST   | /api/signout                                        | 0.036 | 0.132 | 5.676   | 0.007 | 0.016 | 0.020 | 0.052 | 0.010  | 0.000      | 21.000     | 1575.000      | 2.056      |
| 73    | 0   | 69    | 0    | 4   | 0   | POST   | /api/isu                                            | 0.004 | 0.144 | 4.692   | 0.064 | 0.084 | 0.104 | 0.144 | 0.021  | 15.000     | 151.000    | 9535.000      | 130.616    |
| 1     | 0   | 1     | 0    | 0   | 0   | POST   | /initialize                                         | 0.228 | 0.228 | 0.228   | 0.228 | 0.228 | 0.228 | 0.228 | 0.000  | 23.000     | 23.000     | 23.000        | 23.000     |
| 738   | 0   | 738   | 0    | 0   | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.006 | 0.130   | 0.000 | 0.001 | 0.001 | 0.003 | 0.001  | 743417.000 | 743417.000 | 548641746.000 | 743417.000 |
| 738   | 0   | 738   | 0    | 0   | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.002 | 0.014   | 0.000 | 0.000 | 0.000 | 0.001 | 0.000  | 592.000    | 592.000    | 436896.000    | 592.000    |
