+--------+-----+--------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT  | 1XX |  2XX   | 3XX  | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+--------+-----+--------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 102884 | 0   | 102587 | 0    | 297 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.104 | 571.176 | 0.006 | 0.012 | 0.020 | 0.056 | 0.011  | 0.000      | 14.000     | 112.000       | 0.001      |
| 4128   | 0   | 3980   | 0    | 148 | 0   | GET    | /api/trend                                          | 0.004 | 1.004 | 477.644 | 0.116 | 0.484 | 0.816 | 1.000 | 0.248  | 0.000      | 10071.000  | 33508314.000  | 8117.324   |
| 25232  | 0   | 25026  | 0    | 206 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.004 | 0.320 | 364.104 | 0.014 | 0.028 | 0.036 | 0.072 | 0.014  | 0.000      | 135259.000 | 642313679.000 | 25456.313  |
| 8105   | 0   | 7625   | 0    | 480 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.508 | 235.772 | 0.029 | 0.068 | 0.092 | 0.160 | 0.033  | 0.000      | 7183.000   | 39299108.000  | 4848.749   |
| 3747   | 0   | 3678   | 0    | 69  | 0   | GET    | /api/isu                                            | 0.004 | 0.308 | 104.296 | 0.028 | 0.056 | 0.072 | 0.116 | 0.025  | 0.000      | 4649.000   | 10666626.000  | 2846.711   |
| 2829   | 0   | 2486   | 0    | 343 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.016 | 0.464 | 76.436  | 0.027 | 0.060 | 0.076 | 0.120 | 0.029  | 0.000      | 7755.000   | 11783664.000  | 4165.311   |
| 3782   | 0   | 3576   | 0    | 206 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.036 | 0.460 | 53.716  | 0.014 | 0.032 | 0.048 | 0.096 | 0.020  | 0.000      | 151.000    | 494954.000    | 130.871    |
| 4883   | 0   | 1413   | 3470 | 0   | 0   | GET    | /                                                   | 0.004 | 0.028 | 15.296  | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 528.000    | 528.000    | 746064.000    | 152.788    |
| 1430   | 0   | 886    | 0    | 544 | 0   | POST   | /api/auth                                           | 0.012 | 0.160 | 13.268  | 0.009 | 0.020 | 0.028 | 0.052 | 0.011  | 0.000      | 19.000     | 6256.000      | 4.375      |
| 1417   | 0   | 682    | 0    | 735 | 0   | GET    | /api/user/me                                        | 0.008 | 0.140 | 8.264   | 0.006 | 0.012 | 0.020 | 0.040 | 0.009  | 21.000     | 45.000     | 41863.000     | 29.543     |
| 739    | 0   | 669    | 0    | 70  | 0   | POST   | /api/signout                                        | 0.012 | 0.096 | 5.784   | 0.008 | 0.016 | 0.024 | 0.044 | 0.010  | 0.000      | 21.000     | 1470.000      | 1.989      |
| 81     | 0   | 77     | 0    | 4   | 0   | POST   | /api/isu                                            | 0.004 | 0.116 | 5.240   | 0.065 | 0.088 | 0.104 | 0.116 | 0.021  | 15.000     | 151.000    | 10660.000     | 131.605    |
| 1      | 0   | 1      | 0    | 0   | 0   | POST   | /initialize                                         | 0.224 | 0.224 | 0.224   | 0.224 | 0.224 | 0.224 | 0.224 | 0.000  | 23.000     | 23.000     | 23.000        | 23.000     |
| 720    | 0   | 720    | 0    | 0   | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.010 | 0.161   | 0.000 | 0.001 | 0.002 | 0.004 | 0.001  | 743417.000 | 743417.000 | 535260240.000 | 743417.000 |
| 720    | 0   | 720    | 0    | 0   | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.004 | 0.016   | 0.000 | 0.000 | 0.000 | 0.001 | 0.000  | 592.000    | 592.000    | 426240.000    | 592.000    |
| 720    | 0   | 720    | 0    | 0   | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.004 | 0.015   | 0.000 | 0.000 | 0.000 | 0.001 | 0.000  | 26667.000  | 26667.000  | 19200240.000  | 26667.000  |
| 720    | 0   | 720    | 0    | 0   | 0   | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.002 | 0.005   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 19066.000  | 19066.000  | 13727520.000  | 19066.000  |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/graph     | 0.004 | 0.004 | 0.004   | 0.004 | 0.004 | 0.004 | 0.004 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/c648b087-fe00-4ea2-a524-b2e80555893f           | 0.004 | 0.004 | 0.004   | 0.004 | 0.004 | 0.004 | 0.004 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/graph     | 0.004 | 0.004 | 0.004   | 0.004 | 0.004 | 0.004 | 0.004 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3      | 0   | 2      | 1    | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 1056.000      | 352.000    |
