+--------+-----+--------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT  | 1XX |  2XX   | 3XX  | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+--------+-----+--------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 110003 | 0   | 109832 | 0    | 171 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.002 | 0.112 | 616.150 | 0.006 | 0.012 | 0.020 | 0.048 | 0.010  | 0.000      | 14.000     | 112.000       | 0.001      |
| 4448   | 0   | 4329   | 0    | 119 | 0   | GET    | /api/trend                                          | 0.004 | 1.008 | 515.664 | 0.116 | 0.408 | 0.696 | 1.000 | 0.229  | 0.000      | 10583.000  | 37187088.000  | 8360.406   |
| 28498  | 0   | 28279  | 0    | 219 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.004 | 0.308 | 424.580 | 0.015 | 0.028 | 0.036 | 0.064 | 0.013  | 0.000      | 135259.000 | 720740286.000 | 25290.908  |
| 8843   | 0   | 8340   | 0    | 503 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.340 | 228.896 | 0.026 | 0.060 | 0.080 | 0.124 | 0.027  | 0.000      | 7123.000   | 42672098.000  | 4825.523   |
| 4225   | 0   | 4149   | 0    | 76  | 0   | GET    | /api/isu                                            | 0.004 | 0.204 | 118.600 | 0.028 | 0.056 | 0.068 | 0.104 | 0.022  | 0.000      | 4658.000   | 12007711.000  | 2842.062   |
| 3067   | 0   | 2711   | 0    | 356 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.008 | 0.336 | 77.132  | 0.025 | 0.052 | 0.068 | 0.112 | 0.025  | 0.000      | 8688.000   | 12574966.000  | 4100.087   |
| 4217   | 0   | 4002   | 0    | 215 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.092 | 0.264 | 56.396  | 0.013 | 0.032 | 0.044 | 0.076 | 0.016  | 0.000      | 154.000    | 549724.000    | 130.359    |
| 5318   | 0   | 1640   | 3678 | 0   | 0   | GET    | /                                                   | 0.004 | 0.024 | 18.796  | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 528.000    | 865920.000    | 162.828    |
| 1585   | 0   | 1009   | 0    | 576 | 0   | POST   | /api/auth                                           | 0.004 | 0.096 | 14.164  | 0.009 | 0.020 | 0.024 | 0.044 | 0.008  | 0.000      | 19.000     | 6624.000      | 4.179      |
| 1642   | 0   | 793    | 0    | 849 | 0   | GET    | /api/user/me                                        | 0.004 | 0.200 | 9.968   | 0.006 | 0.012 | 0.020 | 0.036 | 0.010  | 21.000     | 43.000     | 47013.000     | 28.632     |
| 853    | 0   | 779    | 0    | 74  | 0   | POST   | /api/signout                                        | 0.000 | 0.140 | 6.772   | 0.008 | 0.020 | 0.024 | 0.044 | 0.010  | 21.000     | 21.000     | 1554.000      | 1.822      |
| 88     | 0   | 84     | 0    | 4   | 0   | POST   | /api/isu                                            | 0.004 | 0.144 | 5.808   | 0.066 | 0.088 | 0.092 | 0.144 | 0.021  | 15.000     | 154.000    | 11588.000     | 131.682    |
| 1      | 0   | 1      | 0    | 0   | 0   | POST   | /initialize                                         | 0.252 | 0.252 | 0.252   | 0.252 | 0.252 | 0.252 | 0.252 | 0.000  | 23.000     | 23.000     | 23.000        | 23.000     |
| 834    | 0   | 834    | 0    | 0   | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.016 | 0.195   | 0.000 | 0.001 | 0.002 | 0.004 | 0.001  | 743417.000 | 743417.000 | 620009778.000 | 743417.000 |
| 834    | 0   | 834    | 0    | 0   | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.005 | 0.030   | 0.000 | 0.000 | 0.000 | 0.002 | 0.000  | 592.000    | 592.000    | 493728.000    | 592.000    |
| 834    | 0   | 834    | 0    | 0   | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.005 | 0.029   | 0.000 | 0.000 | 0.000 | 0.001 | 0.000  | 26667.000  | 26667.000  | 22240278.000  | 26667.000  |
| 834    | 0   | 834    | 0    | 0   | 0   | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.005 | 0.011   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 19066.000  | 19066.000  | 15901044.000  | 19066.000  |
| 3      | 0   | 2      | 1    | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/condition | 0.004 | 0.004 | 0.008   | 0.003 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000      | 528.000    | 1056.000      | 352.000    |
| 3      | 0   | 1      | 2    | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/condition | 0.000 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000      | 528.000    | 528.000       | 176.000    |
| 3      | 0   | 1      | 2    | 0   | 0   | GET    | /register                                           | 0.000 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000      | 528.000    | 528.000       | 176.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3      | 0   | 1      | 2    | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 528.000       | 176.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3      | 0   | 1      | 2    | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 528.000       | 176.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3      | 0   | 2      | 1    | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 1056.000      | 352.000    |
| 1      | 0   | 1      | 0    | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 833    | 0   | 833    | 0    | 0   | 0   | GET    | /assets/logo_orange.svg                             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 3288.000   | 3288.000   | 2738904.000   | 3288.000   |
