+--------+-----+--------+-------+-----+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT  | 1XX |  2XX   |  3XX  | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+--------+-----+--------+-------+-----+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 131377 | 0   | 130467 | 0     | 910 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.152 | 1266.536 | 0.010 | 0.020 | 0.032 | 0.084 | 0.014  | 0.000      | 14.000     | 154.000       | 0.001      |
| 16137  | 0   | 16106  | 0     | 31  | 0   | GET    | /api/trend                                          | 0.004 | 1.000 | 1196.872 | 0.074 | 0.208 | 0.332 | 0.576 | 0.115  | 0.000      | 15311.000  | 172516534.000 | 10690.744  |
| 26613  | 0   | 26422  | 0     | 191 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.004 | 0.464 | 532.272  | 0.020 | 0.040 | 0.060 | 0.112 | 0.023  | 0.000      | 135259.000 | 701963320.000 | 26376.708  |
| 8841   | 0   | 8403   | 0     | 438 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.596 | 318.256  | 0.036 | 0.092 | 0.128 | 0.232 | 0.048  | 0.000      | 7183.000   | 43384673.000  | 4907.213   |
| 4217   | 0   | 4154   | 0     | 63  | 0   | GET    | /api/isu                                            | 0.004 | 0.408 | 139.556  | 0.033 | 0.072 | 0.100 | 0.172 | 0.035  | 0.000      | 10000.000  | 11130786.000  | 2639.503   |
| 16981  | 0   | 1666   | 15315 | 0   | 0   | GET    | /                                                   | 0.004 | 0.068 | 109.412  | 0.006 | 0.016 | 0.020 | 0.028 | 0.007  | 0.000      | 528.000    | 879648.000    | 51.802     |
| 3040   | 0   | 2731   | 0     | 309 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.008 | 0.376 | 91.052   | 0.030 | 0.072 | 0.100 | 0.164 | 0.034  | 0.000      | 8223.000   | 12654101.000  | 4162.533   |
| 4175   | 0   | 3992   | 0     | 183 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.012 | 0.480 | 78.648   | 0.019 | 0.048 | 0.072 | 0.140 | 0.030  | 14.000     | 160.000    | 551932.000    | 132.199    |
| 1457   | 0   | 960    | 0     | 497 | 0   | POST   | /api/auth                                           | 0.004 | 0.204 | 16.300   | 0.011 | 0.024 | 0.032 | 0.076 | 0.015  | 0.000      | 19.000     | 5704.000      | 3.915      |
