+--------+-----+--------+------+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+----------------+------------+
| COUNT  | 1XX |  2XX   | 3XX  | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+--------+-----+--------+------+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+----------------+------------+
| 107115 | 0   | 107093 | 0    | 22   | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.100 | 633.000 | 0.006 | 0.012 | 0.020 | 0.036 | 0.007  | 0.000      | 14.000     | 84.000         | 0.001      |
| 40980  | 0   | 40734  | 0    | 246  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.004 | 0.100 | 308.380 | 0.008 | 0.016 | 0.020 | 0.024 | 0.006  | 0.000      | 135259.000 | 1046482351.000 | 25536.417  |
| 6458   | 0   | 6458   | 0    | 0    | 0   | GET    | /api/trend                                          | 0.004 | 0.436 | 262.212 | 0.041 | 0.152 | 0.260 | 0.344 | 0.078  | 3993.000   | 10651.000  | 58985760.000   | 9133.750   |
| 10478  | 0   | 9919   | 0    | 559  | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.104 | 181.704 | 0.017 | 0.040 | 0.052 | 0.068 | 0.016  | 0.000      | 6960.000   | 48970100.000   | 4673.611   |
| 6165   | 0   | 6085   | 0    | 80   | 0   | GET    | /api/isu                                            | 0.004 | 0.144 | 150.884 | 0.024 | 0.056 | 0.068 | 0.096 | 0.022  | 0.000      | 4554.000   | 17445752.000   | 2829.806   |
| 4909   | 0   | 4514   | 0    | 395  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.004 | 0.128 | 98.776  | 0.020 | 0.044 | 0.056 | 0.076 | 0.017  | 14.000     | 8192.000   | 21415497.000   | 4362.497   |
| 5886   | 0   | 5647   | 0    | 239  | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.004 | 0.096 | 56.828  | 0.010 | 0.024 | 0.028 | 0.044 | 0.010  | 0.000      | 154.000    | 784357.000     | 133.258    |
| 7652   | 0   | 2283   | 5368 | 1    | 0   | GET    | /                                                   | 0.008 | 0.044 | 30.992  | 0.004 | 0.008 | 0.012 | 0.020 | 0.004  | 0.000      | 528.000    | 1205424.000    | 157.531    |
| 1978   | 0   | 1346   | 0    | 632  | 0   | POST   | /api/auth                                           | 0.000 | 0.048 | 16.408  | 0.008 | 0.020 | 0.024 | 0.032 | 0.007  | 0.000      | 19.000     | 7268.000       | 3.674      |
| 2281   | 0   | 1109   | 0    | 1172 | 0   | GET    | /api/user/me                                        | 0.000 | 0.060 | 11.296  | 0.005 | 0.012 | 0.016 | 0.028 | 0.006  | 21.000     | 45.000     | 66932.000      | 29.343     |
| 1176   | 0   | 1095   | 0    | 81   | 0   | POST   | /api/signout                                        | 0.004 | 0.056 | 8.716   | 0.007 | 0.016 | 0.024 | 0.040 | 0.008  | 0.000      | 21.000     | 1701.000       | 1.446      |
| 89     | 0   | 85     | 0    | 4    | 0   | POST   | /api/isu                                            | 0.004 | 0.128 | 5.700   | 0.064 | 0.084 | 0.096 | 0.128 | 0.019  | 15.000     | 154.000    | 11809.000      | 132.685    |
| 1154   | 0   | 1154   | 0    | 0    | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.018 | 0.293   | 0.000 | 0.000 | 0.001 | 0.006 | 0.001  | 743417.000 | 743417.000 | 857903218.000  | 743417.000 |
| 1      | 0   | 1      | 0    | 0    | 0   | POST   | /initialize                                         | 0.228 | 0.228 | 0.228   | 0.228 | 0.228 | 0.228 | 0.228 | 0.000  | 23.000     | 23.000     | 23.000         | 23.000     |
| 1154   | 0   | 1154   | 0    | 0    | 0   | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.018 | 0.033   | 0.000 | 0.000 | 0.000 | 0.000 | 0.001  | 19066.000  | 19066.000  | 22002164.000   | 19066.000  |
| 1154   | 0   | 1154   | 0    | 0    | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.006 | 0.029   | 0.000 | 0.000 | 0.000 | 0.001 | 0.000  | 592.000    | 592.000    | 683168.000     | 592.000    |
| 1154   | 0   | 1154   | 0    | 0    | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.006 | 0.026   | 0.000 | 0.000 | 0.000 | 0.001 | 0.000  | 26667.000  | 26667.000  | 30773718.000   | 26667.000  |
| 3      | 0   | 2      | 1    | 0    | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/condition | 0.004 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 528.000    | 528.000    | 1056.000       | 352.000    |
| 3      | 0   | 1      | 2    | 0    | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 528.000        | 176.000    |
| 3      | 0   | 2      | 1    | 0    | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 1056.000       | 352.000    |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000        | 528.000    |
| 3      | 0   | 1      | 2    | 0    | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 528.000        | 176.000    |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000        | 528.000    |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000        | 528.000    |
| 3      | 0   | 2      | 1    | 0    | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 1056.000       | 352.000    |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000        | 528.000    |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000        | 528.000    |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000        | 528.000    |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000        | 528.000    |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000        | 528.000    |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000        | 528.000    |
| 1154   | 0   | 1154   | 0    | 0    | 0   | GET    | /assets/logo_white.svg                              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 3285.000   | 3285.000   | 3790890.000    | 3285.000   |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /isu/c648b087-fe00-4ea2-a524-b2e80555893f           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000        | 528.000    |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /isu/c648b087-fe00-4ea2-a524-b2e80555893f/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000        | 528.000    |
| 3      | 0   | 2      | 1    | 0    | 0   | GET    | /isu/c648b087-fe00-4ea2-a524-b2e80555893f/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 1056.000       | 352.000    |
| 1153   | 0   | 1153   | 0    | 0    | 0   | GET    | /assets/logo_orange.svg                             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 3288.000   | 3288.000   | 3791064.000    | 3288.000   |
| 3      | 0   | 2      | 1    | 0    | 0   | GET    | /register                                           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 1056.000       | 352.000    |
| 1      | 0   | 1      | 0    | 0    | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000        | 528.000    |
+--------+-----+--------+------+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+----------------+------------+
