+-------+-----+-------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 81289 | 0   | 80700 | 0    | 589 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.112 | 909.060 | 0.011 | 0.028 | 0.044 | 0.088 | 0.016  | 0.000      | 14.000     | 518.000       | 0.006      |
| 9705  | 0   | 9146  | 0    | 559 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.008 | 0.392 | 414.208 | 0.043 | 0.104 | 0.136 | 0.188 | 0.044  | 0.000      | 7243.000   | 54343316.000  | 5599.517   |
| 2146  | 0   | 2146  | 0    | 0   | 0   | GET    | /api/trend                                          | 0.004 | 0.332 | 58.196  | 0.027 | 0.088 | 0.160 | 0.252 | 0.054  | 3993.000   | 8587.000   | 17677721.000  | 8237.521   |
| 7907  | 0   | 7670  | 0    | 237 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.000 | 0.040 | 45.272  | 0.006 | 0.012 | 0.016 | 0.024 | 0.005  | 14.000     | 135259.000 | 212231580.000 | 26840.974  |
| 1264  | 0   | 868   | 0    | 396 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.076 | 0.280 | 43.120  | 0.034 | 0.096 | 0.140 | 0.196 | 0.045  | 0.000      | 15396.000  | 7945877.000   | 6286.295   |
| 1328  | 0   | 1249  | 0    | 79  | 0   | GET    | /api/isu                                            | 0.004 | 0.184 | 24.892  | 0.019 | 0.040 | 0.052 | 0.076 | 0.017  | 3.000      | 4637.000   | 3216625.000   | 2422.157   |
| 1458  | 0   | 1221  | 0    | 237 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.004 | 0.264 | 12.900  | 0.009 | 0.020 | 0.032 | 0.064 | 0.015  | 14.000     | 151.000    | 172336.000    | 118.200    |
| 1132  | 0   | 500   | 0    | 632 | 0   | POST   | /api/auth                                           | 0.008 | 0.124 | 9.412   | 0.008 | 0.020 | 0.024 | 0.044 | 0.010  | 0.000      | 19.000     | 7268.000      | 6.420      |
| 2493  | 0   | 572   | 1921 | 0   | 0   | GET    | /                                                   | 0.004 | 0.044 | 7.004   | 0.003 | 0.008 | 0.008 | 0.020 | 0.004  | 0.000      | 528.000    | 302016.000    | 121.146    |
| 60    | 0   | 56    | 0    | 4   | 0   | POST   | /api/isu                                            | 0.004 | 0.116 | 3.544   | 0.059 | 0.072 | 0.100 | 0.116 | 0.020  | 15.000     | 151.000    | 7773.000      | 129.550    |
| 593   | 0   | 263   | 0    | 330 | 0   | GET    | /api/user/me                                        | 0.000 | 0.048 | 2.156   | 0.004 | 0.008 | 0.012 | 0.024 | 0.005  | 21.000     | 45.000     | 17198.000     | 29.002     |
| 334   | 0   | 253   | 0    | 81  | 0   | POST   | /api/signout                                        | 0.000 | 0.032 | 1.472   | 0.004 | 0.012 | 0.016 | 0.032 | 0.006  | 21.000     | 21.000     | 1701.000      | 5.093      |
| 1     | 0   | 1     | 0    | 0   | 0   | POST   | /initialize                                         | 0.252 | 0.252 | 0.252   | 0.252 | 0.252 | 0.252 | 0.252 | 0.000  | 23.000     | 23.000     | 23.000        | 23.000     |
| 292   | 0   | 292   | 0    | 0   | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.011 | 0.092   | 0.000 | 0.001 | 0.002 | 0.004 | 0.001  | 743417.000 | 743417.000 | 217077764.000 | 743417.000 |
| 292   | 0   | 292   | 0    | 0   | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.003 | 0.014   | 0.000 | 0.000 | 0.000 | 0.002 | 0.000  | 592.000    | 592.000    | 172864.000    | 592.000    |
| 292   | 0   | 292   | 0    | 0   | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.002 | 0.014   | 0.000 | 0.000 | 0.000 | 0.002 | 0.000  | 26667.000  | 26667.000  | 7786764.000   | 26667.000  |
| 3     | 0   | 1     | 2    | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/condition | 0.000 | 0.004 | 0.008   | 0.003 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000      | 528.000    | 528.000       | 176.000    |
| 3     | 0   | 1     | 2    | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/condition | 0.000 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000      | 528.000    | 528.000       | 176.000    |
| 292   | 0   | 292   | 0    | 0   | 0   | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.002 | 0.003   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 19066.000  | 19066.000  | 5567272.000   | 19066.000  |
