+-------+-----+-------+------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 92742 | 0   | 91604 | 0    | 1138 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.000 | 0.108 | 1164.772 | 0.013 | 0.036 | 0.052 | 0.100 | 0.019  | 0.000      | 14.000     | 490.000       | 0.005      |
| 10067 | 0   | 9517  | 0    | 550  | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.472 | 476.868  | 0.047 | 0.120 | 0.160 | 0.248 | 0.054  | 0.000      | 7123.000   | 56251051.000  | 5587.668   |
| 3231  | 0   | 3231  | 0    | 0    | 0   | GET    | /api/trend                                          | 0.004 | 0.400 | 127.880  | 0.040 | 0.140 | 0.252 | 0.344 | 0.079  | 3993.000   | 9515.000   | 27913656.000  | 8639.324   |
| 8011  | 0   | 7780  | 0    | 231  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.004 | 0.076 | 55.792   | 0.007 | 0.012 | 0.016 | 0.024 | 0.006  | 14.000     | 135259.000 | 211909168.000 | 26452.274  |
| 1290  | 0   | 905   | 0    | 385  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.004 | 0.444 | 53.488   | 0.041 | 0.116 | 0.168 | 0.296 | 0.060  | 14.000     | 15286.000  | 8320972.000   | 6450.366   |
| 1322  | 0   | 1245  | 0    | 77   | 0   | GET    | /api/isu                                            | 0.032 | 0.244 | 26.824   | 0.020 | 0.044 | 0.056 | 0.088 | 0.021  | 3.000      | 4716.000   | 3273361.000   | 2476.067   |
| 1462  | 0   | 1231  | 0    | 231  | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.056 | 0.200 | 13.280   | 0.009 | 0.020 | 0.032 | 0.064 | 0.014  | 14.000     | 160.000    | 173705.000    | 118.813    |
| 3539  | 0   | 506   | 3033 | 0    | 0   | GET    | /                                                   | 0.004 | 0.044 | 11.204   | 0.003 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 528.000    | 267168.000    | 75.493     |
| 1073  | 0   | 457   | 0    | 616  | 0   | POST   | /api/auth                                           | 0.004 | 0.092 | 8.684    | 0.008 | 0.016 | 0.028 | 0.052 | 0.010  | 0.000      | 19.000     | 7084.000      | 6.602      |
| 73    | 0   | 69    | 0    | 4    | 0   | POST   | /api/isu                                            | 0.004 | 0.160 | 4.620    | 0.063 | 0.084 | 0.108 | 0.160 | 0.023  | 15.000     | 160.000    | 9587.000      | 131.329    |
| 515   | 0   | 226   | 0    | 289  | 0   | GET    | /api/user/me                                        | 0.000 | 0.108 | 1.960    | 0.004 | 0.008 | 0.012 | 0.036 | 0.007  | 21.000     | 44.000     | 14785.000     | 28.709     |
