+-------+-----+-------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 80986 | 0   | 80604 | 0    | 382 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.108 | 863.012 | 0.011 | 0.028 | 0.040 | 0.080 | 0.015  | 0.000      | 14.000     | 448.000       | 0.006      |
| 9635  | 0   | 9060  | 0    | 575 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.008 | 0.436 | 404.204 | 0.042 | 0.104 | 0.132 | 0.184 | 0.043  | 0.000      | 7143.000   | 53674947.000  | 5570.830   |
| 1950  | 0   | 1950  | 0    | 0   | 0   | GET    | /api/trend                                          | 0.004 | 0.344 | 68.552  | 0.035 | 0.136 | 0.228 | 0.300 | 0.069  | 3993.000   | 8595.000   | 15932064.000  | 8170.289   |
| 1270  | 0   | 864   | 0    | 406 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.004 | 0.316 | 46.968  | 0.037 | 0.112 | 0.156 | 0.216 | 0.050  | 0.000      | 15297.000  | 8019945.000   | 6314.917   |
| 7850  | 0   | 7607  | 0    | 243 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.000 | 0.056 | 45.260  | 0.006 | 0.012 | 0.012 | 0.020 | 0.005  | 14.000     | 135259.000 | 209792789.000 | 26725.196  |
| 1303  | 0   | 1222  | 0    | 81  | 0   | GET    | /api/isu                                            | 0.004 | 0.120 | 22.540  | 0.017 | 0.036 | 0.048 | 0.068 | 0.015  | 3.000      | 4677.000   | 3196553.000   | 2453.226   |
| 1437  | 0   | 1194  | 0    | 243 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.008 | 0.156 | 10.712  | 0.007 | 0.016 | 0.024 | 0.056 | 0.011  | 14.000     | 154.000    | 166926.000    | 116.163    |
| 1148  | 0   | 500   | 0    | 648 | 0   | POST   | /api/auth                                           | 0.004 | 0.072 | 8.716   | 0.008 | 0.016 | 0.024 | 0.040 | 0.009  | 0.000      | 19.000     | 7452.000      | 6.491      |
| 2293  | 0   | 561   | 1732 | 0   | 0   | GET    | /                                                   | 0.000 | 0.064 | 6.096   | 0.003 | 0.008 | 0.008 | 0.016 | 0.004  | 0.000      | 528.000    | 296208.000    | 129.179    |
| 60    | 0   | 56    | 0    | 4   | 0   | POST   | /api/isu                                            | 0.004 | 0.108 | 3.460   | 0.058 | 0.068 | 0.080 | 0.108 | 0.017  | 15.000     | 154.000    | 7758.000      | 129.300    |
| 583   | 0   | 257   | 0    | 326 | 0   | GET    | /api/user/me                                        | 0.000 | 0.080 | 2.160   | 0.004 | 0.008 | 0.012 | 0.032 | 0.007  | 21.000     | 44.000     | 16462.000     | 28.237     |
| 330   | 0   | 247   | 0    | 83  | 0   | POST   | /api/signout                                        | 0.004 | 0.088 | 1.628   | 0.005 | 0.012 | 0.016 | 0.028 | 0.008  | 21.000     | 21.000     | 1743.000      | 5.282      |
| 1     | 0   | 1     | 0    | 0   | 0   | POST   | /initialize                                         | 0.276 | 0.276 | 0.276   | 0.276 | 0.276 | 0.276 | 0.276 | 0.000  | 23.000     | 23.000     | 23.000        | 23.000     |
