+-------+-----+-------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 82450 | 0   | 82366 | 0    | 84  | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.104 | 572.954 | 0.007 | 0.016 | 0.024 | 0.044 | 0.009  | 0.000      | 14.000     | 420.000       | 0.005      |
| 22566 | 0   | 21935 | 0    | 631 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.000 | 0.204 | 179.076 | 0.008 | 0.016 | 0.024 | 0.044 | 0.009  | 0.000      | 7483.000   | 129396647.000 | 5734.142   |
| 26697 | 0   | 26427 | 0    | 270 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.004 | 0.100 | 154.428 | 0.006 | 0.012 | 0.012 | 0.020 | 0.005  | 14.000     | 135259.000 | 718065243.000 | 26896.851  |
| 3440  | 0   | 2990  | 0    | 450 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.052 | 0.296 | 151.004 | 0.044 | 0.104 | 0.140 | 0.200 | 0.044  | 14.000     | 15208.000  | 33085962.000  | 9618.012   |
| 2507  | 0   | 2507  | 0    | 0   | 0   | GET    | /api/trend                                          | 0.004 | 0.312 | 78.476  | 0.031 | 0.104 | 0.196 | 0.288 | 0.061  | 4495.000   | 8567.000   | 20911321.000  | 8341.173   |
| 4049  | 0   | 3959  | 0    | 90  | 0   | GET    | /api/isu                                            | 0.004 | 0.108 | 63.352  | 0.016 | 0.032 | 0.040 | 0.060 | 0.013  | 3.000      | 4629.000   | 11244209.000  | 2777.034   |
| 4190  | 0   | 3920  | 0    | 270 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.004 | 0.084 | 25.244  | 0.006 | 0.012 | 0.020 | 0.032 | 0.007  | 14.000     | 151.000    | 552744.000    | 131.920    |
| 1852  | 0   | 1124  | 0    | 728 | 0   | POST   | /api/auth                                           | 0.004 | 0.128 | 10.248  | 0.006 | 0.012 | 0.016 | 0.024 | 0.006  | 0.000      | 19.000     | 8372.000      | 4.521      |
| 3454  | 0   | 1747  | 1707 | 0   | 0   | GET    | /                                                   | 0.004 | 0.040 | 7.512   | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 0.000      | 528.000    | 922416.000    | 267.057    |
| 1781  | 0   | 851   | 0    | 930 | 0   | GET    | /api/user/me                                        | 0.004 | 0.048 | 5.348   | 0.003 | 0.008 | 0.008 | 0.020 | 0.004  | 21.000     | 43.000     | 52036.000     | 29.217     |
| 934   | 0   | 841   | 0    | 93  | 0   | POST   | /api/signout                                        | 0.004 | 0.064 | 3.668   | 0.004 | 0.008 | 0.012 | 0.024 | 0.005  | 21.000     | 21.000     | 1953.000      | 2.091      |
| 60    | 0   | 56    | 0    | 4   | 0   | POST   | /api/isu                                            | 0.004 | 0.116 | 3.448   | 0.057 | 0.064 | 0.072 | 0.116 | 0.018  | 15.000     | 151.000    | 7847.000      | 130.783    |
| 1     | 0   | 1     | 0    | 0   | 0   | POST   | /initialize                                         | 0.300 | 0.300 | 0.300   | 0.300 | 0.300 | 0.300 | 0.300 | 0.000  | 23.000     | 23.000     | 23.000        | 23.000     |
| 880   | 0   | 880   | 0    | 0   | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.008 | 0.135   | 0.000 | 0.000 | 0.001 | 0.003 | 0.001  | 743417.000 | 743417.000 | 654206960.000 | 743417.000 |
| 880   | 0   | 880   | 0    | 0   | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.002 | 0.023   | 0.000 | 0.000 | 0.000 | 0.001 | 0.000  | 592.000    | 592.000    | 520960.000    | 592.000    |
| 880   | 0   | 880   | 0    | 0   | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.005 | 0.015   | 0.000 | 0.000 | 0.000 | 0.001 | 0.000  | 26667.000  | 26667.000  | 23466960.000  | 26667.000  |
| 880   | 0   | 880   | 0    | 0   | 0   | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.003 | 0.006   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 19066.000  | 19066.000  | 16778080.000  | 19066.000  |
| 3     | 0   | 1     | 2    | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/condition | 0.000 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000      | 528.000    | 528.000       | 176.000    |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a           | 0.004 | 0.004 | 0.004   | 0.004 | 0.004 | 0.004 | 0.004 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014           | 0.004 | 0.004 | 0.004   | 0.004 | 0.004 | 0.004 | 0.004 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3     | 0   | 2     | 1    | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/condition | 0.004 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000      | 528.000    | 1056.000      | 352.000    |
| 3     | 0   | 2     | 1    | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/condition | 0.004 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 528.000    | 528.000    | 1056.000      | 352.000    |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3     | 0   | 2     | 1    | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 1056.000      | 352.000    |
| 3     | 0   | 2     | 1    | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 1056.000      | 352.000    |
| 880   | 0   | 880   | 0    | 0   | 0   | GET    | /assets/logo_white.svg                              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 3285.000   | 3285.000   | 2890800.000   | 3285.000   |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /isu/c648b087-fe00-4ea2-a524-b2e80555893f           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /isu/c648b087-fe00-4ea2-a524-b2e80555893f/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3     | 0   | 1     | 2    | 0   | 0   | GET    | /isu/c648b087-fe00-4ea2-a524-b2e80555893f/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 528.000       | 176.000    |
| 879   | 0   | 879   | 0    | 0   | 0   | GET    | /assets/logo_orange.svg                             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 3288.000   | 3288.000   | 2890152.000   | 3288.000   |
| 3     | 0   | 2     | 1    | 0   | 0   | GET    | /register                                           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 1056.000      | 352.000    |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
+-------+-----+-------+------+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
