+-------+-----+-------+------+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+----------------+------------+
| 82784 | 0   | 82747 | 0    | 37   | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.100 | 432.440 | 0.005 | 0.012 | 0.016 | 0.024 | 0.006  | 0.000      | 14.000     | 364.000        | 0.004      |
| 41811 | 0   | 41516 | 0    | 295  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.000 | 0.048 | 226.000 | 0.005 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 135259.000 | 1144322733.000 | 27368.940  |
| 25327 | 0   | 24675 | 0    | 652  | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.000 | 0.152 | 153.320 | 0.006 | 0.012 | 0.012 | 0.020 | 0.005  | 0.000      | 7023.000   | 143550662.000  | 5667.890   |
| 9490  | 0   | 9020  | 0    | 470  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.004 | 0.116 | 105.112 | 0.011 | 0.020 | 0.020 | 0.028 | 0.006  | 0.000      | 15571.000  | 105475305.000  | 11114.363  |
| 2883  | 0   | 2883  | 0    | 0    | 0   | GET    | /api/trend                                          | 0.004 | 0.336 | 101.940 | 0.035 | 0.120 | 0.228 | 0.312 | 0.070  | 3993.000   | 8567.000   | 24138757.000   | 8372.791   |
| 6307  | 0   | 6214  | 0    | 93   | 0   | GET    | /api/isu                                            | 0.004 | 0.144 | 80.388  | 0.013 | 0.024 | 0.028 | 0.036 | 0.007  | 3.000      | 4608.000   | 17649656.000   | 2798.423   |
| 6447  | 0   | 6167  | 0    | 280  | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.004 | 0.056 | 29.700  | 0.005 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 154.000    | 856370.000     | 132.832    |
| 2265  | 0   | 1521  | 0    | 744  | 0   | POST   | /api/auth                                           | 0.004 | 0.028 | 9.512   | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000      | 19.000     | 8556.000       | 3.777      |
| 4223  | 0   | 2527  | 1696 | 0    | 0   | GET    | /                                                   | 0.000 | 0.016 | 8.412   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 528.000    | 528.000    | 1334256.000    | 315.950    |
| 2565  | 0   | 1242  | 0    | 1323 | 0   | GET    | /api/user/me                                        | 0.004 | 0.032 | 6.184   | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 21.000     | 42.000     | 74895.000      | 29.199     |
| 1327  | 0   | 1232  | 0    | 95   | 0   | POST   | /api/signout                                        | 0.000 | 0.020 | 4.336   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000      | 21.000     | 1995.000       | 1.503      |
| 60    | 0   | 56    | 0    | 4    | 0   | POST   | /api/isu                                            | 0.004 | 0.112 | 3.468   | 0.058 | 0.068 | 0.072 | 0.112 | 0.018  | 15.000     | 154.000    | 7792.000       | 129.867    |
| 1     | 0   | 1     | 0    | 0    | 0   | POST   | /initialize                                         | 0.288 | 0.288 | 0.288   | 0.288 | 0.288 | 0.288 | 0.288 | 0.000  | 23.000     | 23.000     | 23.000         | 23.000     |
| 1271  | 0   | 1271  | 0    | 0    | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.010 | 0.168   | 0.000 | 0.000 | 0.001 | 0.002 | 0.001  | 743417.000 | 743417.000 | 944883007.000  | 743417.000 |
| 1271  | 0   | 1271  | 0    | 0    | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.006 | 0.033   | 0.000 | 0.000 | 0.000 | 0.001 | 0.000  | 592.000    | 592.000    | 752432.000     | 592.000    |
| 1271  | 0   | 1271  | 0    | 0    | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.003 | 0.026   | 0.000 | 0.000 | 0.000 | 0.001 | 0.000  | 26667.000  | 26667.000  | 33893757.000   | 26667.000  |
| 1271  | 0   | 1271  | 0    | 0    | 0   | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.002 | 0.010   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 19066.000  | 19066.000  | 24232886.000   | 19066.000  |
| 3     | 0   | 2     | 1    | 0    | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 1056.000       | 352.000    |
| 1     | 0   | 1     | 0    | 0    | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000        | 528.000    |
