+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+----------------+------------+
| 76151 | 0   | 76097 | 0   | 54   | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.100 | 348.028 | 0.005 | 0.008 | 0.012 | 0.020 | 0.005  | 0.000      | 14.000     | 518.000        | 0.007      |
| 44968 | 0   | 44668 | 0   | 300  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.004 | 0.064 | 226.556 | 0.005 | 0.008 | 0.012 | 0.016 | 0.003  | 0.000      | 135259.000 | 1153248217.000 | 25645.975  |
| 23616 | 0   | 22936 | 0   | 680  | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.104 | 112.504 | 0.005 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 6902.000   | 134183769.000  | 5681.901   |
| 9272  | 0   | 8786  | 0   | 486  | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.004 | 0.076 | 84.472  | 0.009 | 0.016 | 0.016 | 0.024 | 0.005  | 0.000      | 15575.000  | 106669695.000  | 11504.497  |
| 5945  | 0   | 5848  | 0   | 97   | 0   | GET    | /api/isu                                            | 0.004 | 0.080 | 65.892  | 0.011 | 0.020 | 0.020 | 0.028 | 0.006  | 3.000      | 10000.000  | 19326043.000   | 3250.806   |
| 1510  | 0   | 1509  | 0   | 1    | 0   | GET    | /api/trend                                          | 0.000 | 0.340 | 39.720  | 0.026 | 0.088 | 0.140 | 0.316 | 0.056  | 0.000      | 8200.000   | 12045922.000   | 7977.432   |
| 6095  | 0   | 5802  | 0   | 293  | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.004 | 0.068 | 21.596  | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000      | 151.000    | 801238.000     | 131.458    |
| 2170  | 0   | 1394  | 0   | 776  | 0   | POST   | /api/auth                                           | 0.000 | 0.016 | 7.372   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000      | 19.000     | 8924.000       | 4.112      |
| 2293  | 0   | 1102  | 0   | 1191 | 0   | GET    | /api/user/me                                        | 0.004 | 0.020 | 4.424   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000      | 46.000     | 69040.000      | 30.109     |
| 2715  | 0   | 2241  | 474 | 0    | 0   | GET    | /                                                   | 0.000 | 0.016 | 4.140   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 528.000    | 528.000    | 1183248.000    | 435.819    |
| 55    | 0   | 51    | 0   | 4    | 0   | POST   | /api/isu                                            | 0.004 | 0.100 | 3.060   | 0.056 | 0.064 | 0.068 | 0.100 | 0.016  | 15.000     | 151.000    | 7100.000       | 129.091    |
| 1194  | 0   | 1095  | 0   | 99   | 0   | POST   | /api/signout                                        | 0.004 | 0.016 | 3.032   | 0.003 | 0.004 | 0.008 | 0.008 | 0.003  | 0.000      | 21.000     | 2079.000       | 1.741      |
| 1     | 0   | 1     | 0   | 0    | 0   | POST   | /initialize                                         | 0.272 | 0.272 | 0.272   | 0.272 | 0.272 | 0.272 | 0.272 | 0.000  | 23.000     | 23.000     | 23.000         | 23.000     |
| 1126  | 0   | 1126  | 0   | 0    | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.006 | 0.131   | 0.000 | 0.000 | 0.001 | 0.002 | 0.000  | 743417.000 | 743417.000 | 837087542.000  | 743417.000 |
