+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 79994 | 0   | 79801 | 0   | 193 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.104 | 767.072 | 0.010 | 0.016 | 0.024 | 0.048 | 0.009  | 0.000      | 14.000     | 854.000       | 0.011      |
| 39337 | 0   | 38666 | 0   | 671 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.236 | 250.600 | 0.006 | 0.012 | 0.016 | 0.032 | 0.007  | 0.000      | 7143.000   | 234708110.000 | 5966.599   |
| 23510 | 0   | 23222 | 0   | 288 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.000 | 0.232 | 129.608 | 0.006 | 0.008 | 0.012 | 0.024 | 0.006  | 14.000     | 135259.000 | 616164827.000 | 26208.627  |
| 1543  | 0   | 1543  | 0   | 0   | 0   | GET    | /api/trend                                          | 0.004 | 0.420 | 74.236  | 0.048 | 0.196 | 0.288 | 0.340 | 0.086  | 3993.000   | 8437.000   | 12658203.000  | 8203.631   |
| 3597  | 0   | 3117  | 0   | 480 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.004 | 0.152 | 63.608  | 0.018 | 0.036 | 0.048 | 0.084 | 0.016  | 0.000      | 19499.000  | 54246500.000  | 15081.040  |
| 3570  | 0   | 3474  | 0   | 96  | 0   | GET    | /api/isu                                            | 0.004 | 0.076 | 44.488  | 0.012 | 0.020 | 0.024 | 0.040 | 0.008  | 3.000      | 4665.000   | 9893221.000   | 2771.210   |
| 3718  | 0   | 3430  | 0   | 288 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.008 | 0.108 | 15.328  | 0.004 | 0.008 | 0.012 | 0.020 | 0.005  | 14.000     | 160.000    | 480438.000    | 129.219    |
| 1696  | 0   | 928   | 0   | 768 | 0   | POST   | /api/auth                                           | 0.004 | 0.040 | 5.888   | 0.003 | 0.008 | 0.008 | 0.016 | 0.003  | 0.000      | 19.000     | 8832.000      | 5.208      |
| 2285  | 0   | 1317  | 968 | 0   | 0   | GET    | /                                                   | 0.000 | 0.016 | 3.772   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000      | 528.000    | 695376.000    | 304.322    |
