+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
| 79492 | 0   | 79269 | 0   | 223 | 0   | POST   | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.104 | 885.748 | 0.011 | 0.020 | 0.028 | 0.056 | 0.010  | 0.000      | 14.000     | 840.000       | 0.011      |
| 39010 | 0   | 38326 | 0   | 684 | 0   | GET    | /api/condition/[0-9a-f\-]{36}$                      | 0.004 | 0.292 | 255.200 | 0.007 | 0.012 | 0.016 | 0.032 | 0.008  | 0.000      | 7073.000   | 231016384.000 | 5921.979   |
| 24150 | 0   | 23858 | 0   | 292 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/icon$                       | 0.000 | 0.040 | 106.308 | 0.004 | 0.008 | 0.012 | 0.012 | 0.003  | 0.000      | 135259.000 | 659686329.000 | 27316.204  |
| 1560  | 0   | 1558  | 0   | 2   | 0   | GET    | /api/trend                                          | 0.004 | 0.604 | 79.676  | 0.051 | 0.208 | 0.268 | 0.408 | 0.092  | 0.000      | 8425.000   | 12799558.000  | 8204.845   |
| 3669  | 0   | 3182  | 0   | 487 | 0   | GET    | /api/isu/[0-9a-f\-]{36}/graph$                      | 0.004 | 0.156 | 60.840  | 0.017 | 0.032 | 0.044 | 0.076 | 0.014  | 0.000      | 19490.000  | 55262343.000  | 15061.963  |
| 3649  | 0   | 3552  | 0   | 97  | 0   | GET    | /api/isu                                            | 0.004 | 0.092 | 47.664  | 0.013 | 0.020 | 0.028 | 0.044 | 0.008  | 3.000      | 4556.000   | 10130410.000  | 2776.215   |
| 3798  | 0   | 3507  | 0   | 291 | 0   | GET    | /api/isu/[0-9a-f\-]{36}$                            | 0.004 | 0.196 | 16.052  | 0.004 | 0.008 | 0.012 | 0.020 | 0.006  | 14.000     | 163.000    | 488602.000    | 128.647    |
| 1759  | 0   | 983   | 0   | 776 | 0   | POST   | /api/auth                                           | 0.004 | 0.064 | 6.940   | 0.004 | 0.008 | 0.008 | 0.016 | 0.004  | 0.000      | 19.000     | 8924.000      | 5.073      |
| 2355  | 0   | 1424  | 931 | 0   | 0   | GET    | /                                                   | 0.000 | 0.016 | 3.952   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 528.000    | 528.000    | 751872.000    | 319.266    |
| 58    | 0   | 54    | 0   | 4   | 0   | POST   | /api/isu                                            | 0.004 | 0.108 | 3.524   | 0.061 | 0.088 | 0.104 | 0.108 | 0.021  | 15.000     | 163.000    | 7513.000      | 129.534    |
| 1470  | 0   | 692   | 0   | 778 | 0   | GET    | /api/user/me                                        | 0.004 | 0.012 | 2.312   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 21.000     | 43.000     | 42502.000     | 28.913     |
| 782   | 0   | 683   | 0   | 99  | 0   | POST   | /api/signout                                        | 0.000 | 0.012 | 1.352   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000      | 21.000     | 2079.000      | 2.659      |
| 1     | 0   | 1     | 0   | 0   | 0   | POST   | /initialize                                         | 0.332 | 0.332 | 0.332   | 0.332 | 0.332 | 0.332 | 0.332 | 0.000  | 23.000     | 23.000     | 23.000        | 23.000     |
| 718   | 0   | 718   | 0   | 0   | 0   | GET    | /assets/vendor.ee7444dd.js                          | 0.000 | 0.006 | 0.127   | 0.000 | 0.001 | 0.001 | 0.003 | 0.001  | 743417.000 | 743417.000 | 533773406.000 | 743417.000 |
| 719   | 0   | 719   | 0   | 0   | 0   | GET    | /assets/favicon.d0f5f504.svg                        | 0.000 | 0.004 | 0.016   | 0.000 | 0.000 | 0.000 | 0.001 | 0.000  | 592.000    | 592.000    | 425648.000    | 592.000    |
| 718   | 0   | 718   | 0   | 0   | 0   | GET    | /assets/index.23dac98b.js                           | 0.000 | 0.004 | 0.013   | 0.000 | 0.000 | 0.000 | 0.001 | 0.000  | 26667.000  | 26667.000  | 19146906.000  | 26667.000  |
| 3     | 0   | 1     | 2   | 0   | 0   | GET    | /register                                           | 0.000 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000      | 528.000    | 528.000       | 176.000    |
| 3     | 0   | 1     | 2   | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/condition | 0.000 | 0.004 | 0.004   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 0.000      | 528.000    | 528.000       | 176.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3     | 0   | 2     | 1   | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 1056.000      | 352.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3     | 0   | 2     | 1   | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 1056.000      | 352.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3     | 0   | 2     | 1   | 0   | 0   | GET    | /isu/8fb74e6e-4f8d-4a33-9862-dbcdc0712c7e/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 1056.000      | 352.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/b82dcff4-8fae-4773-9956-22ab354adb7e/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/8469e6f6-0d29-4052-87cf-dd9bfde45014           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3     | 0   | 1     | 2   | 0   | 0   | GET    | /isu/eb104b95-3532-4828-8550-89da717b9667/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 528.000       | 176.000    |
| 718   | 0   | 718   | 0   | 0   | 0   | GET    | /assets/logo_white.svg                              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 3285.000   | 3285.000   | 2358630.000   | 3285.000   |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/c648b087-fe00-4ea2-a524-b2e80555893f           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/c648b087-fe00-4ea2-a524-b2e80555893f/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 3     | 0   | 1     | 2   | 0   | 0   | GET    | /isu/c648b087-fe00-4ea2-a524-b2e80555893f/condition | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 528.000    | 528.000       | 176.000    |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /isu/15063e10-26fc-4dac-ae3a-1f195e0c6c4a/graph     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 528.000    | 528.000    | 528.000       | 528.000    |
| 717   | 0   | 717   | 0   | 0   | 0   | GET    | /assets/logo_orange.svg                             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 3288.000   | 3288.000   | 2357496.000   | 3288.000   |
| 718   | 0   | 718   | 0   | 0   | 0   | GET    | /assets/index.144d8ca8.css                          | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 19066.000  | 19066.000  | 13689388.000  | 19066.000  |
+-------+-----+-------+-----+-----+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+
