Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
STAT pid 93597
STAT uptime 109
STAT time 1697292659
STAT version 1.5.22
STAT libevent 2.1.11-stable
STAT pointer_size 64
STAT rusage_user 2.301123
STAT rusage_system 4.512097
STAT max_connections 1024
STAT curr_connections 6
STAT total_connections 14709
STAT rejected_connections 14708
STAT connection_structures 27
STAT reserved_fds 20
STAT cmd_get 155817
STAT cmd_set 16544
STAT cmd_flush 0
STAT cmd_touch 0
STAT cmd_meta 0
STAT get_hits 139082
STAT get_misses 16735
STAT get_expired 6341
STAT get_flushed 0
STAT delete_misses 0
STAT delete_hits 0
STAT incr_misses 0
STAT incr_hits 0
STAT decr_misses 0
STAT decr_hits 0
STAT cas_misses 0
STAT cas_hits 0
STAT cas_badval 0
STAT touch_hits 0
STAT touch_misses 0
STAT auth_cmds 0
STAT auth_errors 0
STAT bytes_read 8865178
STAT bytes_written 672005039
STAT limit_maxbytes 67108864
STAT accepting_conns 1
STAT listen_disabled_num 0
STAT time_in_listen_disabled_us 0
STAT threads 4
STAT conn_yields 0
STAT hash_power_level 16
STAT hash_bytes 524288
STAT hash_is_expanding 0
STAT slab_reassign_rescues 0
STAT slab_reassign_chunk_rescues 0
STAT slab_reassign_evictions_nomem 0
STAT slab_reassign_inline_reclaim 0
STAT slab_reassign_busy_items 0
STAT slab_reassign_busy_deletes 0
STAT slab_reassign_running 0
STAT slabs_moved 0
STAT lru_crawler_running 0
STAT lru_crawler_starts 531
STAT lru_maintainer_juggles 135414
STAT malloc_fails 0
STAT log_worker_dropped 0
STAT log_worker_written 0
STAT log_watcher_skipped 0
STAT log_watcher_sent 0
STAT bytes 1515903
STAT curr_items 74
STAT total_items 16544
STAT slab_global_page_pool 0
STAT expired_unfetched 82
STAT evicted_unfetched 0
STAT evicted_active 0
STAT evictions 0
STAT reclaimed 133
STAT crawler_reclaimed 0
STAT crawler_items_checked 364
STAT lrutail_reflocked 4734
STAT moves_to_cold 67787
STAT moves_to_warm 63245
STAT moves_within_lru 44217
STAT direct_reclaims 0
STAT lru_bumps_dropped 0
END

telnet> close
Connection closed.
